TPlant#,Tray,TRow,TColumn,Accession,Plate,Accession#,Transplant_Date,Transplant_Day,Treatment,AboveGround_Biomass,BelowGround_Biomass,Incubator,Tot_biomass,AG:BG,Notes
1,1,A,1,RHA 274,2,1,4/30/18,1,Harvest,0.0246,0.0125,R,0.0371,1.968,
3,1,A,3,ARG-403,1,1,4/30/18,1,Harvest,0.0037,0.0022,R,0.0059,1.681818182,
6,1,A,6,HA 445,5,1,4/30/18,1,Harvest,0.04,0.0134,R,0.0534,2.985074627,
7,1,A,7,HA 412 HO,3,1,4/30/18,1,Harvest,0.0377,0.1139,R,0.1516,0.330992098,
14,1,B,2,ARG-422,4,1,4/30/18,1,Harvest,0.0064,0.045,R,0.0514,0.142222222,
16,1,B,4,445/373,3,1,4/30/18,1,Harvest,0.0444,0.0248,R,0.0692,0.179032258,BG biomass typo corrected
24,1,B,12,RHA 373,5,2,4/30/18,1,Harvest,0.0362,0.0251,R,0.0613,1.442231076,
30,1,C,6,SAM 206,7,1,4/30/18,1,Harvest,0.0764,0.0258,R,0.1022,2.96124031,
32,1,C,8,445/373,3,3,4/30/18,1,Harvest,0.0433,0.0316,R,0.0749,1.370253165,
35,1,C,11,ANN-568,13,2,4/30/18,1,Harvest,0.0057,0.0255,R,0.0312,0.223529412,
38,1,D,2,ANN-1963,5,3,4/30/18,1,Harvest,0.0032,0.0026,R,0.0058,1.230769231,
39,1,D,3,445/373,3,4,4/30/18,1,Harvest,0.0287,0.0253,R,0.054,1.134387352,
44,1,D,8,RHA 373,5,4,4/30/18,1,Harvest,0.0294,0.0172,R,0.0466,1.709302326,
58,1,E,10,SAM 206,7,3,4/30/18,1,Harvest,0.0661,0.0192,R,0.0853,3.442708333,
61,1,F,1,SAM 206,5,5,4/30/18,1,Harvest,0.0473,0.0073,R,0.0546,6.479452055,
64,1,F,4,HA 412 HO,3,2,4/30/18,1,Harvest,0.1214,0.0523,R,0.1737,2.321223709,
67,1,F,7,ANN-1749,4,2,4/30/18,1,Harvest,0.0078,0.0031,R,0.0109,2.516129032,
73,2,A,1,RHA 274,2,5,4/30/18,1,Harvest,0.0272,0.0159,R,0.0431,1.710691824,
77,2,A,5,ARG-422,4,7,4/30/18,1,Harvest,0.0025,0.0001,R,0.0026,25,
78,2,A,6,RHA 373,5,7,4/30/18,1,Harvest,0.0252,0.02,R,0.0452,1.26,
80,2,A,8,RHA 377,4,8,4/30/18,1,Harvest,0.0314,0.018,R,0.0494,1.744444444,
81,2,A,9,HA 89,2,5,4/30/18,1,Harvest,0.0609,0.011,R,0.0719,5.536363636,
88,2,B,4,412 HO/377,4,4,4/30/18,1,Harvest,0.0793,0.0557,R,0.135,1.423698384,
90,2,B,6,445/373,1,7,4/30/18,1,Harvest,0.0294,0.0237,R,0.0531,1.240506329,
92,2,B,8,ARG-403,1,5,4/30/18,1,Harvest,0.0055,0.003,R,0.0085,1.833333333,
93,2,B,9,RHA 274,2,6,4/30/18,1,Harvest,0.0246,0.0103,R,0.0349,2.388349515,
96,2,B,12,HA 89,2,6,4/30/18,1,Harvest,0.04,0.0341,R,0.0741,1.173020528,
104,2,C,8,RHA 373,5,9,4/30/18,1,Harvest,0.0219,0.0074,R,0.0293,2.959459459,
109,2,D,1,HA 412 HO,3,4,4/30/18,1,Harvest,0.1043,0.0365,R,0.1408,2.857534247,
