"","Plant","Bench","Row","Column","Osmocote","Salt","Treatment","Bench.1","Tray","Tplant","TRow","TColumn","Accession","Species","Type","Group","Cross","Plate","Accession.","Transplant_Date","Notes_053118","Chlorophyll","SLA.biomass","Aboveground.biomass","Belowground.biomass","RNA.leaf.biomass","X2.RNA.bags..weight.of.2nd","PlantDied","Chlorophyll.1","Tot_AG","Tot_BG","Tot_Biomass","TissueBox.","Date_ground","Date_RNA_extracted","SeqPlate","SeqPlateRow","SeqPlateColumn","GGBC.RIN","My_RIN","Reproductive","SampleDay","MisIDed","leaf.part","Midvein.included.","SampleNotes","X"
"1",1,1,1,"A","High","NoSalt","Control",1,1,4,"A",4,"RHA 373","annuus","cultivated","RHA",2,5,1,"4/30/18","",20.7,0.645,2.3074,1.6587,0.3637,NA,"",20.7,3.5974,1.6587,5.2561,5,"20-Jul","10/30/18",2,"A",1,7.8,"8.5","no",1,"n","half","no","",""
"2",2,1,2,"A","High","NoSalt","Control",2,1,5,"A",5,"HA 89","annuus","cultivated","HA",3,2,1,"4/30/18","",18.2,0.869,NA,1.6233,0.4868,NA,"",18.2,NA,1.6233,NA,4,"19-Jul","10/16/18",1,"A",1,7.8,"8.5","no",1,"n","half","no","",""
"6",6,1,6,"A","High","NoSalt","Control",6,1,12,"A",12,"HA 89","annuus","cultivated","HA",3,2,2,"4/30/18","",19.6,0.8151,4.8672,2.1173,0.4536,NA,"",19.6,6.4974,2.1173,8.6147,4,"19-Jul","10/18/18",1,"A",3,7.9,"8.6","no",1,"n","half","no","",""
"8",8,1,8,"A","High","NoSalt","Control",8,1,15,"B",3,"RHA 274","annuus","cultivated","RHA",3,2,2,"4/30/18","",17.7,0.6166,2.5735,1.5748,0.3797,NA,"",17.7,3.8067,1.5748,5.3815,8,"24-Jul","11/16/18",2,"A",3,7.8,"8.5","no",2,"n","half","no","","tube opened in liquid nitrogen"
"10",10,1,10,"A","High","Salt","HighSalt",10,1,19,"B",7,"RHA 274","annuus","cultivated","RHA",3,2,3,"4/30/18","bud",19.6,0.0972,0.2984,0.1783,0.0755,NA,"",19.6,0.4928,0.1783,0.6711,2,"17-Jul","10/9/18",1,"A",6,7.7,"8.6","yes",2,"n","half","no","",""
"18",19,1,1,"B","High","NoSalt","Control",19,1,34,"C",10,"RHA 377","annuus","cultivated","RHA",1,4,3,"4/30/18","bud",17.8,0.4411,4.9038,1.0036,0.364,NA,"",17.8,5.786,1.0036,6.7896,11,"29-Nov","11/30/18",2,"A",9,7.9,"8.3","yes",2,"n","half","no","",""
"19",20,1,2,"B","Low","NoSalt","LowNut",20,1,36,"C",12,"RHA 377","annuus","cultivated","RHA",1,4,4,"4/30/18","",15.4,0.2281,1.1241,0.3465,0.1739,NA,"",15.4,1.5803,0.3465,1.9268,13,"2/22/19","2/25/19",3,"A",3,7.9,"7.8","yes",2,"n","half","no","",""
"21",22,1,4,"B","Low","Salt","Combo",22,1,40,"D",4,"RHA 373","annuus","cultivated","RHA",2,5,3,"4/30/18","",23.2,0.1301,0.4287,0.2355,0.0767,NA,"",23.2,0.6889,0.2355,0.9244,13,"2/22/19","2/25/19",3,"A",4,8,"8.2","no",1,"n","half","no","",""
"23",24,1,6,"B","High","Salt","HighSalt",24,1,42,"D",6,"HA 89","annuus","cultivated","HA",3,2,3,"4/30/18","",24.9,0.2726,1.6823,0.3978,0.1655,NA,"",24.9,2.2275,0.3978,2.6253,13,"2/22/19","2/25/19",3,"A",5,7.7,"8.1","yes",1,"n","half","no","",""
"29",32,1,14,"B","Low","Salt","Combo",32,1,52,"E",4,"HA 445","annuus","cultivated","HA",2,5,3,"4/30/18","",18.1,0.1641,0.5554,0.2041,0.1036,NA,"",18.1,0.8836,0.2041,1.0877,5,"20-Jul","10/9/18",1,"A",9,7.8,"8.5","no",1,"n","half","no","",""
