"Accession","Plant.","Bench","Row","Column","Osmocote","Salt","Treatment","Plant..1","Bench.","Tray","TPlant.","TRow","TColumn","Plate","Accession.","Transplant_Date","exp","Numlvs_0511_tot.not.including.cotyledons","Numlvs_0511_fullyexpanded.not.including.cotyledons","Notes_0511","Status_0515","status_0518...","exclude.from.analyses.","NumLvs_053118","Num_FullyExpaneded_Lvs_053118","Notes_053118","SLA.biomass","Aboveground.biomass","Belowground.biomass","RNA.leaf.biomass","X2.RNA.bags..weight.of.2nd","PlantDied","Notes","Root.Date","X","Include","Survival","Tot_AG","Tot_BG","Tot_Biomass","mold","ln_AG","ln_BG","ln_Tot","X.1","RNASeqExp","X.2","Plant..2","TissueBox.","Date_ground","Date_RNA_extracted","SeqPlate","SeqPlateRow","SeqPlateColumn","GGBC.RIN","My_RIN","X.3","ReproStageSampled","Reproductive","SampleDay","SampleNotes","X.4","MisIDed","Chlorophyll","Hybrid_set","Hybrid_role","Species","init.weight","RNA.leaf.biomass_full","Tot_biomass2","growdays","RGR"
"412 HO/377",62,1,8,"D","High","NoSalt","Control",62,62,5,352,"F",4,2,16,"5/1/18",1,"4",4,"","","","",20,13,"",0.9967,5.8265,2.191,0.4996,"","","Mold","","","y",1,7.8199,2.191,10.0109,"y",2.056671767,0.784358061,2.303674499,NA,"y",NA,62,"3","18-Jul","10/9/18","1","B",4,7.5,"8.6",NA,"R1","yes",1,"","","",17.9,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.9992,10.0134,32,0.136226833197871
"412 HO/377",51,1,15,"C","High","Salt","HighSalt",51,51,9,582,"A",6,2,34,"5/1/18",1,"6",2,"","","","",15,10,"bud",0.3591,2.4832,0.667,0.25,"","","Mold","","","y",1,3.2014,0.667,3.8684,"y",1.163588214,-0.404965233,1.352840985,NA,"y",NA,51,"11","1/24/19","1/25/19","3","A",11,7.7,"8.6",NA,"R1","yes",1,"","","",28.1,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.5,4.0093,32,0.107623472775814
"412 HO/377",18,1,18,"A","High","Salt","HighSalt",18,18,1,31,"C",7,4,2,"4/30/18",1,"4",2,"","","","",14,8,"bud",0.37,3.1635,0.731,0.2403,"","","Mold","","","y",1,3.9035,0.731,4.6345,"y",1.361873587,-0.313341819,1.533528318,NA,"y",NA,18,"5","20-Jul","11/2/18","2","A",8,7.8,"8.5",NA,"R1","yes",1,"","","",26.5,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.4806,4.7451,33,0.109468090090667
"412 HO/377",50,1,14,"C","Low","Salt","Combo",50,50,9,581,"A",5,5,33,"5/1/18",1,"6",2,"","","","",23,14,"bud",0.2432,2.805,0.7698,0.184,"","","Mold","","","y",1,3.2914,0.7698,4.0612,"y",1.191313006,-0.261624538,1.401478496,NA,"y",NA,50,"5","20-Jul","11/2/18","2","B",11,7.7,"8.8",NA,"R1","yes",1,"","","",20.1,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.368,4.186,32,0.108971252823763
"412 HO/377",150,3,7,"A","High","NoSalt","Control",150,7,8,514,"A",10,6,26,"5/1/18",1,"6",2,"","","","",18,12,"bud",1.0548,14.9537,NA,0.693,"","","","","","y",1,17.0633,NA,NA,"n",2.836929958,NA,NA,NA,"y",NA,150,"12","2/15/19","2/18/19","3","C",4,7.9,"8.4",NA,"","yes",2,"","","",18.8,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,1.386,NA,32,NA
"412 HO/377",128,2,3,"D","High","Salt","HighSalt",128,57,6,382,"B",10,1,18,"5/1/18",1,"7",2,"","","","",21,13,"bud",0.3385,5.572,1.3554,0.222,"","","","","","y",1,6.249,1.3554,7.6044,"n",1.832421451,0.304096614,2.028727027,NA,"y",NA,128,"1","17-Jul","10/25/18","1","D",6,6.3,"8.2",NA,"R1","yes",2,"","","",25.6,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.444,7.7099,32,0.128057490114347
"412 HO/377",167,3,6,"B","High","Salt","HighSalt",167,24,8,545,"D",5,6,29,"5/1/18",1,"1",NA,"*weird","","","",10,5,"",0.0421,0.3993,NA,NA,"","","","","","y",1,0.4835,NA,NA,"n",-0.726703964,NA,NA,NA,"y",NA,167,"1","13-Jul","10/19/18","1","E",11,7.5,"8.4",NA,"","no",2,"whole leaf","","Grouped with 445-373",17.7,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.0421,NA,32,NA
"412 HO/377",346,5,8,"D","Low","Salt","Combo",346,62,5,320,"C",8,2,14,"5/1/18",1,"6",2,"","","","",16,8,"",0.2413,1.7174,0.6611,0.1674,"","","Mold","18-Jun","","y",1,2.2,0.6611,2.8611,"y",0.78845736,-0.413850165,1.051206166,NA,"y",NA,346,"13","2/26/19","2/28/19","3","H",6,7.9,"8.5",NA,"","no",1,"","","",18.6,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.3348,2.9546,32,0.0980843045075617
"412 HO/377",203,3,6,"D","Low","Salt","Combo",203,60,7,465,"C",9,1,24,"5/1/18",1,"6",2,"","","","",15,10,"bud",0.3261,3.9001,0.7593,0.1999,"","","","","","y",1,4.5523,0.7593,5.3116,"n",1.5156326,-0.275358323,1.669893108,NA,"y",NA,203,"1","13-Jul","10/30/18","1","F",5,7.3,"7.7",NA,"","yes",2,"","","grouped with HYB 894",17.3,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.3998,5.3853,32,0.116843983928113
"412 HO/377",55,1,1,"D","Low","NoSalt","LowNut",55,55,9,586,"A",10,5,35,"5/1/18",1,"4",2,"","","","",21,10,"bud",0.4367,4.7572,2.0023,0.3275,"","","Mold","","","y",1,5.6306,2.0023,7.6329,"y",1.728216008,0.69429652,2.032467852,NA,"y",NA,55,"12","1/29/19","2/25/19","3","A",12,7.9,"7.1",NA,"R1","yes",2,"","","",14.2,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.655,7.8512,32,0.128625026646566
"412 HO/377",218,4,3,"A","Low","Salt","Combo",218,3,3,147,"A",3,3,8,"4/30/18",1,"6",2,"","","","",18,11,"bud",0.298,3.1812,2.075,0.0881,"","","Mold","17-Jun","","y",1,3.7772,2.075,5.8522,"y",1.328982994,0.729961154,1.766817659,NA,"n",NA,218,"","","","","",NA,NA,"",NA,"","yes",2,"","tube opened in liquid nitrogen","",15.9,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.1762,5.7304,33,0.115185448565294
"412 HO/377",187,3,8,"C","Low","NoSalt","LowNut",187,44,7,436,"A",4,1,23,"5/1/18",1,"2",2,"","","","",11,7,"",0.2606,2.7514,0.4598,0.1566,"","","","20-Jun","","y",1,3.2726,0.4598,3.7324,"n",1.185584776,-0.776963667,1.317051458,NA,"y",NA,187,"6","","3/4/19","3","D",6,7.8,"8.1",NA,"","no",2,"","","",11.9,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.3132,3.785,32,0.105824386038313
"412 HO/377",282,4,13,"D","Low","NoSalt","LowNut",282,67,6,429,"F",9,1,22,"5/1/18",1,"4",2,"","","","",15,8,"",0.2962,3.2732,1.0707,0.2128,"","","Mold","","","y",1,3.8656,1.0707,4.9363,"y",1.352116909,0.06831264,1.596616063,NA,"y",NA,282,"11","30-Nov","2/21/19","3","G",2,6.8,"7.8",NA,"","no",2,"","","",14.8,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.4256,5.0657,32,0.114932087432638
"412 HO/377",246,4,13,"B","High","NoSalt","Control",246,31,3,185,"D",5,3,10,"4/30/18",1,"4",4,"","","","",21,14,"",1.385,11.5634,2.5323,0.7593,"","","Mold","","","y",1,14.3334,2.5323,16.8657,"y",2.662592478,0.929127981,2.825281974,NA,"y",NA,246,"8","24-Jul","11/19/18","2","F",7,8,"8.4",NA,"","no",2,"","","",20.8,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,1.5186,16.9993,33,0.14813656463862
"412 HO/377",139,2,14,"D","Low","Salt","Combo",139,68,6,401,"D",5,1,20,"5/1/18",1,"6",2,"","","","",17,10,"bud",0.2921,4.1035,0.8565,0.1745,"","","","19-Jun","","y",1,4.6877,0.8565,5.5442,"n",1.544942057,-0.154900961,1.712752336,NA,"y",NA,139,"10","11/9/18","11/30/18","3","C",1,8,"7.8",NA,"R1","yes",2,"","","",18.8,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,0.349,5.6011,32,0.118071796042487
"412 HO/377",69,1,15,"D","High","NoSalt","Control",69,69,7,494,"F",2,1,25,"5/1/18",1,"5",2,"","","","",25,13,"1 bud",0.8693,6.2821,2.1612,0.7133,"","","Mold","","","y",1,8.0207,2.1612,10.1819,"y",2.0820257,0.770663623,2.320611634,NA,"y",NA,69,"9","2-Nov","11/19/18","2","C",2,7.8,"8.4",NA,"R1","yes",1,"","","",19,"HA412-HO/RHA377","Hybrid","Cultivated",0.12805,1.4266,10.7392,32,0.138413595773351
