"Module","emmean.HA_Control","SE.HA_Control","emmean.HA_LowNut","SE.HA_LowNut","emmean.HA_Salt","SE.HA_Salt","emmean.HA_Combo","SE.HA_Combo","emmean.RHA_Control","SE.RHA_Control","emmean.RHA_LowNut","SE.RHA_LowNut","emmean.RHA_Salt","SE.RHA_Salt","emmean.RHA_Combo","SE.RHA_Combo"
"MEbisque4",0.00706329183598297,0.00490753714085477,0.0205549392536061,0.00505829809042946,0.0167101529032721,0.00554298160105324,0.0245094377947208,0.00559797752553074,0.0052159943535896,0.00534965207021992,0.00364208647468977,0.00476808654836026,0.00714456713786105,0.00541417986002284,0.00323382122188001,0.00493815463808549
"MEcoral3",0.00134720268566403,0.00602784413772129,0.0170383143334514,0.0062130212398008,-0.00213353650530534,0.00680834972623073,0.016556628340355,0.00687590028192607,0.0112761749873457,0.00657088636209629,0.0112041344208592,0.00585655935426606,0.00952192866365529,0.00665014474533818,-0.000313233311015823,0.00606545108717409
"MEmaroon",0.00253817635303098,0.00453576994677617,0.00851132768909468,0.00467511010144063,0.00374706242644604,0.00512307673686021,0.0230048218732276,0.00517390648185869,-0.00300199598248216,0.00494439275534165,0.00508247248898604,0.00440688334065533,0.00760901611802928,0.00500403228558247,0.00287363469153503,0.00456406803598032
"MEdarkgreen",0.00388848517846307,0.00358642442139315,0.0133349286637418,0.00369660040902774,0.00404212246002954,0.00405080675107998,0.0109990989601936,0.00409099773098744,0.00115148605628344,0.00390952167653924,0.00105834398690116,0.00348451403413668,-0.0102426228285786,0.00395667853639898,-0.00770165919362143,0.00360879966515362
"MEdarkmagenta",0.007588637028938,0.00400208650760634,0.0236444460398321,0.00412503175383665,0.0101962712838148,0.00452029016608146,0.0215471374591498,0.00456513923008394,-0.0100360033429156,0.00436263032884279,0.0053117631110701,0.0038883648344571,-0.00769604672688316,0.00441525260953549,-0.00316152256170964,0.00402705501401734
"MEdarkseagreen3",-0.0204693031810909,0.0260846854533021,-0.0256108907155094,0.0268860144775002,-0.01641444303263,0.0294622184992229,0.0774798227867239,0.0297545344512035,0.0027181909145229,0.0284346277024789,-0.00496888980122296,0.0253434735710295,-0.00354738619329553,0.0287776077048091,-0.00367905711225692,0.0262474244732439
"MElightcyan",0.0052421148993372,0.00641567213708437,0.00785503142515548,0.00661276342662237,0.00635253285753748,0.00724639500294329,0.014479294136668,0.0073182917222541,0.00703063386516807,0.00699365338354376,0.00451685916521193,0.0062333669899019,-0.00286079272807562,0.00707801120524211,0.00319513557494283,0.00645569869587596
"MEyellowgreen",-0.0121031027293681,0.0051431204655616,0.0203867968252094,0.00530111860249063,0.00557817849283361,0.00580906904917339,0.0177359457321104,0.00586670501943391,-0.0136110097861987,0.00560645885222782,0.00937990008491578,0.00499697563250013,-0.0167141218403837,0.00567408425919011,0.00322165860604395,0.00517520773705684
"MEivory",-0.00969241031441634,0.00563897524967347,0.0135568469216085,0.00581220618789533,0.00634325276713266,0.00636912878305603,0.0222910416287327,0.00643232151049966,-0.0144449191011963,0.00614698467938243,0.0079562607003943,0.00547874040741776,0.00950309775962213,0.00622112993782288,0.0108081295261207,0.00567415609581596
"MEsaddlebrown",0.00852560706373014,0.00555459691197089,0.019451343525385,0.00572523572343947,0.0175083404306703,0.00627382485361265,0.0225784449010749,0.00633607200192877,-0.00840036777640792,0.00605500478478021,-0.00297143681578813,0.00539675973046612,0.0179275028594432,0.00612804057680546,0.00962918240599821,0.00558925133244471
"MEskyblue2",0.118870449062369,0.0233006555670308,-0.16943753223758,0.024016458394024,0.0826670099573105,0.0263177030338348,-0.00412311532379241,0.0265788199764194,0.12314006221235,0.0253997874522324,-0.142733135140392,0.0226385535531137,0.0301922719782961,0.0257061610489155,0.0105854808300709,0.0234460253802021
"MEantiquewhite2",0.137961854562122,0.0180231799021551,-0.188370802827211,0.0185768571619325,0.0728824719419366,0.0203568820210126,0.00204585558488287,0.0205588573524862,0.14589268829586,0.0196468694801801,-0.146644914333942,0.0175110405043567,0.0499541603499092,0.0198838510721531,-0.00476017360728519,0.018135624218908
"MEskyblue4",0.122109067018143,0.0222170772307321,-0.185409159591927,0.0228995922202154,0.0567155463583243,0.0250938193200668,0.0382431460513465,0.0253427932282458,0.114142286687165,0.0242185906678478,-0.0932774896271715,0.0215857657409973,0.0165779979116638,0.0245107166056517,-0.00460917089535635,0.0223556867371022
"MEorangered4",0.153485537785814,0.0168019642398069,-0.134193730299134,0.0173181254039121,0.047690825932683,0.0189775392360215,-0.0319118783579941,0.0191658291113468,0.0685396656558284,0.0183156357658433,-0.0422938621137283,0.0163245264128352,0.00288559572133686,0.018536559945452,0.000575329018541078,0.016906789548066
"MEwhite",0.152373904781174,0.016356037301993,-0.146243835809163,0.0168584994625744,0.0441415553675437,0.0184738721743625,-0.017581559174892,0.0186571648049415,0.0683190731349868,0.0178295357328586,-0.0375537877763805,0.0158912707547085,-0.0126250997127712,0.0180445965478335,-0.0108423842483902,0.016458080529059
"MEdarkviolet",0.0533073958298633,0.0294726968077684,-0.114221833111699,0.0303781065132347,0.0523403179416573,0.0332889209903008,-0.00932311995791598,0.033619204421942,-0.0107083607418655,0.0321278614847488,-0.0452730169830343,0.0286352125637799,-0.00940394356954122,0.0325153894707735,0.0875018481644305,0.0296565731976955
"MEsalmon",0.150888812619225,0.0280310383703355,-0.100078668223574,0.0288921599148054,0.0197305099473441,0.0316605917562398,-0.0491099480844746,0.0319747193573143,0.102295301778534,0.0305563255344331,-0.0550009267861961,0.0272345197100002,-0.0612942032000317,0.0309248975696523,0.0362100941076722,0.028205920437459
"MEthistle1",0.129568000438049,0.028674354003013,-0.102273449260375,0.0295552383883692,0.0347617178292682,0.032387206066688,-0.0255590603685279,0.0327085429332116,0.0809074097013312,0.0312575968050073,-0.0973857494245667,0.0278595551455924,0.010103690509663,0.0316346276118529,0.0260883165968055,0.0288532496341782
"MEblue2",0.152290667511006,0.0267247672315706,-0.131426215006835,0.0275457597517193,0.0176838592112674,0.0301851802248866,-0.0332110574813477,0.0304846692023842,0.123880760315156,0.0291323737840556,-0.0229768448156984,0.0259653670441129,-0.0436385368979504,0.0294837700369937,-0.0281147525265171,0.0268914996399496
"MElightcyan1",0.154183598420585,0.0268432406916914,-0.0105794711259263,0.0276678727505404,-0.0811319347027886,0.0303189940281885,-0.0761651972158803,0.03061981066909,0.0840083311734977,0.0292615203952804,0.0726788778453857,0.0260804740102604,-0.123463552802244,0.0296144744215603,-0.0242241391292227,0.0270107122408518
"MEdarkgrey",0.0362081585843279,0.0267699162047642,-0.201453472474127,0.0275922957143285,0.0832517691132518,0.0302361752393992,0.0777771649188442,0.0305361701752724,0.021725332823457,0.0291815901814014,-0.0774176919309564,0.0260092330823268,0.114168941297692,0.0295335800851603,-0.00884348465211766,0.0269369302918187
"MEindianred4",0.113695410793019,0.0134071284288018,-0.196795216389988,0.0138189992623751,0.0948879899879783,0.0151431286347559,0.0171096931500917,0.0152933745526915,0.0546071424769076,0.0146149627188254,-0.0781222263691869,0.0130261568845455,0.0496262475868056,0.0147912491819298,-0.0135090001588943,0.013490773790163
"MEmagenta4",0.1104132541459,0.0301328697299841,-0.129549432519444,0.0310585601371099,0.0252247276539305,0.0340345753289896,0.006021515704786,0.0343722569359538,0.0666801980819162,0.0328475087005861,-0.0138438796897072,0.029276626278982,-0.00274049080525074,0.0332437171098731,-0.0381186123151154,0.0303208648544287
"MEorangered3",0.136922720728878,0.0146856226186452,-0.163664576577526,0.015136769160696,0.0717649442812397,0.0165871665641604,-0.0061255117581645,0.016751739825505,0.0522121393358519,0.0160086351237721,-0.046922979870628,0.0142683219000684,0.00960892356240234,0.0162017321380712,-0.0213811452387163,0.0147772443419154
"MElightcoral",0.0287247312089043,0.0224344829237552,-0.0495819368971834,0.0231236766785299,0.105380821696256,0.0253393754354467,-0.00305985572799011,0.0255907856832257,0.0207856629615858,0.0244555822141931,-0.0488769861417647,0.0217969937216906,0.0319474499977731,0.0247505667567226,-0.0085245760818535,0.022574448796468
"MEsienna3",0.0221522913861479,0.0231054129134404,-0.012892524942396,0.023815217830075,0.0696687725927294,0.0260971797029805,-0.00644721225424914,0.0263561086743031,0.0555670123827176,0.0251869555905477,-0.125562368257414,0.0224488588358795,0.0968733283964153,0.0254907619979157,-0.013211244010093,0.0232495646326404
"MEcoral",0.11296464943708,0.0212034535341462,-0.147001416944321,0.0218548297127305,0.112722367363773,0.0239489482086913,-0.0179590541990423,0.0241865630235682,0.103510539570751,0.0231136506640885,-0.1603624343522,0.0206009447658169,0.0840479580628197,0.0233924487563856,-0.00112945875384929,0.0213357391717747
"MEturquoise",0.0116867771088348,0.0293368559938912,-0.0197919267974261,0.0302380926305648,0.107248583193031,0.0331354910497048,-0.00540396056824156,0.0334642521920741,0.0548622978877928,0.0319797829128865,-0.107320766459422,0.028503231747583,0.0922200745667395,0.0323655247672462,-0.0366665438821545,0.0295198848903356
"MEcyan",0.151742440147415,0.0132660348101972,-0.16450371124938,0.0136735712073089,0.0654249943256872,0.0149837657385609,-0.0302339611095514,0.0151324305020863,0.0585109519138985,0.0144611581225078,-0.0493405027385703,0.012889072525198,0.0160552888865683,0.0146355893863335,0.0104686972662244,0.0133487999064982
"MEfirebrick4",0.135606720427406,0.0142091936165312,-0.159852638332246,0.0146457041228879,0.0744335906857381,0.0160490479280443,-0.0109065817549464,0.016208282125686,0.0447092624012385,0.0154892851271609,-0.0265801116884217,0.0138054309119764,0.0191514152707282,0.0156761177139841,0.00623787210739118,0.0142978429601262
"MEtan",-0.00266933547365958,0.0391543400149673,-0.0464409677442175,0.0403571725786753,0.0629067245541156,0.0442241760123581,-0.00432314829965827,0.0446629560082349,0.00961024261714449,0.0426817138836123,-0.0095699107160594,0.0380417461094899,0.018739981256929,0.0431965430025454,-0.00850403091049054,0.0393986189399292
