"","moduleColors","Gene"
"1","magenta","gene.Ha412HOChr00c00005g0858651"
"2","darkturquoise","gene.Ha412HOChr00c00005g0858671"
"3","yellow","gene.Ha412HOChr00c00005g0858681"
"4","cyan","gene.Ha412HOChr00c00007g0858711"
"5","blue","gene.Ha412HOChr00c00007g0858721"
"6","salmon","gene.Ha412HOChr00c00009g0858831"
"7","blue","gene.Ha412HOChr00c00010g0858851"
"8","ivory","gene.Ha412HOChr00c00010g0858881"
"9","blue","gene.Ha412HOChr00c00014g0858941"
"10","magenta","gene.Ha412HOChr00c00014g0858951"
"11","salmon2","gene.Ha412HOChr00c00017g0859181"
"12","salmon","gene.Ha412HOChr00c00020g0859301"
"13","salmon","gene.Ha412HOChr00c00028g0859581"
"14","salmon","gene.Ha412HOChr00c00028g0859591"
"15","blue","gene.Ha412HOChr00c00034g0859641"
"16","blue","gene.Ha412HOChr00c00034g0859651"
"17","blue","gene.Ha412HOChr00c00034g0859661"
"18","blue","gene.Ha412HOChr00c00034g0859671"
"19","blue","gene.Ha412HOChr00c00039g0859721"
"20","ivory","gene.Ha412HOChr00c00059g0860201"
"21","blue","gene.Ha412HOChr00c00059g0860211"
"22","blue","gene.Ha412HOChr00c00093g0861921"
"23","indianred4","gene.Ha412HOChr00c00094g0861931"
"24","darkseagreen3","gene.Ha412HOChr00c00094g0861941"
"25","turquoise","gene.Ha412HOChr00c00106g0862071"
"26","blue","gene.Ha412HOChr00c00127g0862471"
"27","darkseagreen3","gene.Ha412HOChr00c00144g0862601"
"28","darkturquoise","gene.Ha412HOChr00c00169g0863011"
"29","yellow","gene.Ha412HOChr00c00169g0863021"
"30","darkmagenta","gene.Ha412HOChr00c00180g0863191"
"31","darkseagreen3","gene.Ha412HOChr00c00192g0863321"
"32","magenta","gene.Ha412HOChr00c00192g0863331"
"33","tan","gene.Ha412HOChr00c00198g0863421"
"34","turquoise","gene.Ha412HOChr00c00203g0863481"
"35","paleturquoise","gene.Ha412HOChr00c00238g0863651"
"36","orange","gene.Ha412HOChr00c00392g0864331"
"37","tan","gene.Ha412HOChr00c00452g0864491"
"38","skyblue4","gene.Ha412HOChr00c00494g0864721"
"39","midnightblue","gene.Ha412HOChr00c00500g0864731"
"40","midnightblue","gene.Ha412HOChr00c00516g0864761"
"41","ivory","gene.Ha412HOChr00c00526g0864801"
"42","honeydew1","gene.Ha412HOChr00c00631g0864981"
"43","greenyellow","gene.Ha412HOChr00c00661g0865011"
"44","magenta","gene.Ha412HOChr00c00675g0865021"
"45","blue","gene.Ha412HOChr00c00712g0865081"
"46","orangered4","gene.Ha412HOChr00c00712g0865091"
"47","blue","gene.Ha412HOChr00c00736g0865111"
"48","magenta","gene.Ha412HOChr00c00944g0865351"
"49","blue","gene.Ha412HOChr00c00962g0865371"
"50","midnightblue","gene.Ha412HOChr00c00996g0865401"
"51","black","gene.Ha412HOChr00c01067g0865621"
