"","kTotal","kWithin","kOut","kDiff"
"gene.Ha412HOChr00c00005g0858651",39.5824789959299,5.59020058643381,33.9922784094961,-28.4020778230623
"gene.Ha412HOChr00c00005g0858671",10.1950918297215,1.56975920412434,8.6253326255972,-7.05557342147286
"gene.Ha412HOChr00c00005g0858681",8.69593723690637,3.26628119329167,5.4296560436147,-2.16337485032304
"gene.Ha412HOChr00c00007g0858711",25.9667979946141,1.11207754926291,24.8547204453512,-23.7426428960883
"gene.Ha412HOChr00c00007g0858721",47.4714203483907,20.9800047692488,26.4914155791419,-5.51141080989316
"gene.Ha412HOChr00c00009g0858831",106.272041985854,2.99746339208255,103.274578593772,-100.277115201689
"gene.Ha412HOChr00c00010g0858851",5.61436894999993,1.56014941022829,4.05421953977164,-2.49407012954335
"gene.Ha412HOChr00c00010g0858881",24.3150726501005,4.74216298372623,19.5729096663743,-14.8307466826481
"gene.Ha412HOChr00c00014g0858941",59.3546052430548,15.0499625608427,44.3046426822121,-29.2546801213695
"gene.Ha412HOChr00c00014g0858951",31.6764888319573,5.45097355658469,26.2255152753726,-20.7745417187879
"gene.Ha412HOChr00c00017g0859181",47.1590218362137,2.59335396607757,44.5656678701361,-41.9723139040585
"gene.Ha412HOChr00c00020g0859301",36.0795790573008,10.4448768204317,25.6347022368691,-15.1898254164375
"gene.Ha412HOChr00c00028g0859581",150.809296606932,2.862699018248,147.946597588684,-145.083898570436
"gene.Ha412HOChr00c00028g0859591",150.108475977125,2.83323509989558,147.275240877229,-144.442005777334
"gene.Ha412HOChr00c00034g0859641",4.59663576097209,1.66422645435878,2.93240930661331,-1.26818285225453
"gene.Ha412HOChr00c00034g0859651",10.1769467647777,3.53489947197489,6.64204729280286,-3.10714782082796
"gene.Ha412HOChr00c00034g0859661",18.7509105572724,5.00577514177746,13.7451354154949,-8.73936027371742
"gene.Ha412HOChr00c00034g0859671",19.7203236092803,6.1952536763887,13.5250699328916,-7.32981625650289
"gene.Ha412HOChr00c00039g0859721",15.9286856791227,3.68513548934902,12.2435501897737,-8.55841470042468
"gene.Ha412HOChr00c00059g0860201",7.4277762398176,0.687410371965517,6.74036586785209,-6.05295549588657
"gene.Ha412HOChr00c00059g0860211",51.5561341948679,19.4006100169088,32.1555241779591,-12.7549141610503
"gene.Ha412HOChr00c00093g0861921",54.4908431063825,8.65017625614935,45.8406668502332,-37.1904905940838
"gene.Ha412HOChr00c00094g0861931",44.2073160292011,4.0608105975335,40.1465054316676,-36.0856948341341
"gene.Ha412HOChr00c00094g0861941",35.5829509387825,0.982379346590324,34.6005715921922,-33.6181922456019
"gene.Ha412HOChr00c00106g0862071",51.096585267166,15.0154237338857,36.0811615332803,-21.0657377993946
"gene.Ha412HOChr00c00127g0862471",51.3454829890645,19.9151852552201,31.4302977338444,-11.5151124786243
"gene.Ha412HOChr00c00144g0862601",41.8774996753469,1.60340813941408,40.2740915359328,-38.6706833965187
"gene.Ha412HOChr00c00169g0863011",19.801035208166,1.90834009587585,17.8926951122901,-15.9843550164143
"gene.Ha412HOChr00c00169g0863021",17.2101301250551,2.67174702153714,14.5383831035179,-11.8666360819808
"gene.Ha412HOChr00c00180g0863191",70.0186876394584,12.1891319267572,57.8295557127012,-45.640423785944
"gene.Ha412HOChr00c00192g0863321",133.385284492148,1.56262108337297,131.822663408775,-130.260042325402
"gene.Ha412HOChr00c00192g0863331",96.545785745684,8.50799207535414,88.0377936703299,-79.5298015949757
"gene.Ha412HOChr00c00198g0863421",3.24154368370592,0.150458437438222,3.0910852462677,-2.94062680882948
"gene.Ha412HOChr00c00203g0863481",2.97143004908799,0.323018102911596,2.64841194617639,-2.32539384326479
"gene.Ha412HOChr00c00238g0863651",80.70913056473,11.7272176317666,68.9819129329634,-57.2546953011968
"gene.Ha412HOChr00c00392g0864331",32.82739326333,4.96230333352628,27.8650899298037,-22.9027865962774
"gene.Ha412HOChr00c00452g0864491",150.413669893492,65.0731194875196,85.3405504059723,-20.2674309184526
"gene.Ha412HOChr00c00494g0864721",29.7082382805942,1.76179468967937,27.9464435909148,-26.1846489012354
"gene.Ha412HOChr00c00500g0864731",16.319888018867,1.61128531340406,14.7086027054629,-13.0973173920589
"gene.Ha412HOChr00c00516g0864761",31.6526842336722,10.1704718876377,21.4822123460346,-11.3117404583969
"gene.Ha412HOChr00c00526g0864801",136.861222205372,45.3401082084712,91.521113996901,-46.1810057884298
"gene.Ha412HOChr00c00631g0864981",47.6993948236694,6.38028967986274,41.3191051438067,-34.9388154639439
"gene.Ha412HOChr00c00661g0865011",177.484738438718,64.2022403469655,113.282498091752,-49.0802577447868
"gene.Ha412HOChr00c00675g0865021",1.39924355208561,0.112993682779732,1.28624986930588,-1.17325618652614
"gene.Ha412HOChr00c00712g0865081",37.4137607374267,10.4108861682916,27.0028745691351,-16.5919884008435
