"","GS.Nutrient","p.GS.Nutrient","GS.Salt","p.GS.Salt"
"gene.Ha412HOChr00c00005g0858651",0.281290702304144,0.0041839393427019,-0.199643241427172,0.0442464520813712
"gene.Ha412HOChr00c00005g0858671",0.327984210157544,0.000764744390356922,-0.29398458956638,0.00270800662429281
"gene.Ha412HOChr00c00005g0858681",-0.046928991663959,0.639515414309484,0.216327200540855,0.0289770115566497
"gene.Ha412HOChr00c00007g0858711",-0.330176994130859,0.000701238524200158,-0.0697699339016257,0.485923457456559
"gene.Ha412HOChr00c00007g0858721",-0.414380400828382,1.49269918824586e-05,0.094737911335025,0.343564254494391
"gene.Ha412HOChr00c00009g0858831",0.052545355458107,0.599927885776129,-0.0450096869876815,0.653286750684654
"gene.Ha412HOChr00c00010g0858851",-0.0414774752229946,0.678934607644277,0.126040326856611,0.206841879347987
"gene.Ha412HOChr00c00010g0858881",0.00616052360774477,0.950999239405308,0.00184460732203189,0.985319726863645
"gene.Ha412HOChr00c00014g0858941",-0.1956870271805,0.0487141162227752,0.013068270179015,0.896280046012987
"gene.Ha412HOChr00c00014g0858951",0.101414581222847,0.310472284883849,-0.0231405262642274,0.817424796090738
"gene.Ha412HOChr00c00017g0859181",-0.302597430678315,0.00199328906635226,0.130864617947088,0.189849409846371
"gene.Ha412HOChr00c00020g0859301",0.358804252541337,0.000212907486285136,-0.148740497966894,0.135698047151822
"gene.Ha412HOChr00c00028g0859581",0.0895965194825693,0.370503260279111,0.0101359452395644,0.919463954626048
"gene.Ha412HOChr00c00028g0859591",0.128885869346256,0.196692282005975,0.00619189342086528,0.950750035695108
"gene.Ha412HOChr00c00034g0859641",-0.0984306224390018,0.324996872151317,-0.0910233040886307,0.362901052836087
"gene.Ha412HOChr00c00034g0859651",-0.0954555810255951,0.339904464919777,0.0399540671525269,0.690112494588569
"gene.Ha412HOChr00c00034g0859661",-0.077684328732396,0.437703189065648,-0.00360681092525604,0.971299765334544
"gene.Ha412HOChr00c00034g0859671",-0.0977762568652365,0.328239326564171,-0.130641888364199,0.19061090541711
"gene.Ha412HOChr00c00039g0859721",-0.0901791349660208,0.367387272356144,-0.0958456626179312,0.3379255909862
"gene.Ha412HOChr00c00059g0860201",0.14138101667729,0.156362848155158,0.00482909620517261,0.961580226178038
"gene.Ha412HOChr00c00059g0860211",-0.134960746152298,0.176236397312109,0.101444947445094,0.310326679264386
"gene.Ha412HOChr00c00093g0861921",-0.0745513612119734,0.456459469105297,-0.0887022281138319,0.375317512204724
"gene.Ha412HOChr00c00094g0861931",0.0364627017318924,0.715979220050466,0.175958688590403,0.0768899231795528
"gene.Ha412HOChr00c00094g0861941",0.286349399788788,0.0035262088201404,-0.320784610029984,0.00101202569631844
"gene.Ha412HOChr00c00106g0862071",0.400153978653336,3.08576744630139e-05,-0.312761888707817,0.00137187731114379
"gene.Ha412HOChr00c00127g0862471",-0.245845304593505,0.0127503771734524,0.0515967768454072,0.606537079080802
"gene.Ha412HOChr00c00144g0862601",0.296909572812352,0.00244288498649634,-0.197106392456072,0.0470701684729621
"gene.Ha412HOChr00c00169g0863011",0.16403175213471,0.0994756676113729,-0.173964988855178,0.0803486876204666
"gene.Ha412HOChr00c00169g0863021",-0.0745976377344437,0.456179224862153,0.282474318558291,0.00402092436383559
"gene.Ha412HOChr00c00180g0863191",-0.0154538732506657,0.877481934720056,-0.129640610509336,0.194061562829883
"gene.Ha412HOChr00c00192g0863321",0.0516397646914725,0.606236870016556,-0.00271584177902923,0.978387426127226
"gene.Ha412HOChr00c00192g0863331",0.10046608088077,0.315042686891727,-0.112380514760729,0.26077299468257
