"","MEdarkseagreen4","MEsaddlebrown","MEplum2","MEcoral2","MEskyblue4","MEmediumpurple2","MEblue2","MEgreenyellow","MEcoral1","MEsalmon","MElightcyan","MEpalevioletred2","MEantiquewhite2","MEmagenta","MEmediumorchid","MEdarkturquoise","MEblack","MEturquoise","MEgrey60","MEdarkorange","MEskyblue3","MEdarkorange2","MEmagenta4","MEskyblue1","MEthistle","MEmaroon","MElightcoral","MEnavajowhite1","MEplum3","MEskyblue2","MEdarkolivegreen4","MEyellowgreen","MEmidnightblue","MEdarkgreen","MEbisque4","MElightsteelblue","MEdarkgrey","MEviolet","MEdarkviolet","MEdarkmagenta","MEtan","MEsalmon2","MEsienna4","MEorangered4","MEyellow","MEcyan","MEhoneydew","MEblue","MEdarkslateblue","MElavenderblush2","MEorangered1","MEthistle3","MEcoral3","MEfirebrick4","MEhoneydew1","MEdarkseagreen3","MEindianred4","MEdarkolivegreen","MEmediumpurple3","MEorangered3","MEorange","MEpaleturquoise","MEantiquewhite4","MEpink4","MElightpink3","MElightgreen","MEskyblue","MElavenderblush3","MEpalevioletred3","MEivory","MEsalmon4"
"1",-0.0951445111637446,-0.157383972837248,-0.0910234445611006,-0.113254396954515,-0.024233959366291,-0.0223335653333988,-0.0753866756331762,-0.118190621687494,-0.0988680456388191,-0.0727228906715584,0.171549645323577,0.0817580356325997,-0.158265238329225,-0.080468489895963,-0.143683907070136,0.00642577876024633,-0.1473481716642,-0.0895817388543823,0.104949594234482,0.0888189153085421,0.155856417289453,0.0818060515265568,0.15636243520908,0.0701400464312161,0.0688199911499601,-0.0369708305326922,-0.0246284800624261,0.0247618942825327,-0.0368007434305154,0.00106129896728457,-0.0862567079500397,-0.125708646223303,-0.0501649510697991,-0.0462123773363135,-0.118776372698404,-0.0501861330168564,-0.097610976963739,-0.178730367334654,-0.0559413808956563,-0.139781403647782,-0.151799640320219,-0.0453845499902659,-0.104368355186294,0.0249180910081527,0.0791398214233784,0.0196801315079507,-0.0700822563573316,0.110499089831425,0.0520498621012785,0.109773250839838,-0.101280805474664,-0.0430410936210324,-0.0744839042300794,0.0842829386086223,0.0668659751114318,0.098961950003631,0.0704860900505783,-0.206795191402426,-0.114614685685489,-0.0805841052592807,0.0924079399328989,0.136475719409762,0.0773199742309681,0.100880758766058,0.068711170761346,0.0887951613525932,0.0804109462064302,0.0764303609572269,-0.00357800387039691,0.141684670532909,-0.0386515223105436
"2",-0.0809298645985667,0.0696139324086044,-0.0933497382374903,-0.0705647930924062,-0.0561459628305628,0.187595027628126,0.0576749086041333,0.0694110588639482,-0.15620580803417,-0.131163792320142,0.10102518293162,0.0214538168674047,-0.129158535601213,-0.08152868028551,-0.084156301942351,-0.108572854014533,-0.105675807792737,-0.113177458719709,-0.00147566244569597,0.0632327610581179,-0.0804276856880087,0.0755072927278725,-0.0515783265472472,0.0415798867874351,0.0110716778755156,-0.0634860168991646,0.034390212274612,0.016072485980937,-0.0221229304694403,-0.0599179904806876,-0.195570596096365,-0.133357576757302,-0.0237106606668938,-0.0346459916910854,-0.0818276577480099,-0.0857351569679905,-0.0184051247770588,-0.0823921841930965,0.126758250106782,0.0200606254443395,0.0612803615390389,0.139927672334115,0.111572895946759,0.0683163246280774,0.10386788051988,0.0519331147001246,0.112325100280701,0.10946148091028,0.0547927771930152,0.0672389391023837,0.0454204165675382,0.000782372249923779,0.11985059279994,0.0874561950987668,0.0426571297129331,0.00158823844267138,0.06036472451394,0.0481218609063788,-0.0981393809943093,-0.0674764580415773,-0.117323506904865,-0.0881148631063821,-0.130392713188823,-0.129410125022715,-0.211326743157182,-0.122340948646566,-0.137605747395707,0.0837698887167412,0.0235064842445134,0.0667461123360711,-0.0146705869438291
"6",-0.0794674013826514,0.0510233799909173,-0.0879270351215705,-0.0641723315955249,-0.0647271819454494,0.155235907149641,0.0361283906623916,0.0722969170761704,-0.165001481172178,-0.138852754684829,-0.0370817891607621,-0.083009985912444,-0.109655025290917,-0.0716506323545399,-0.100816083810381,-0.0694526553316196,-0.0932451885670974,-0.133399914557142,0.00160198859511185,0.0725494684096343,-0.0627548683257027,0.0821927672624236,-0.046055502866264,0.0520046744457558,0.0190854991186747,-0.114788754643543,-0.0123201592937667,0.0139676843298447,-0.124398033852089,-0.107547840153687,-0.143537822932878,-0.0863598855894335,-0.0432471857966074,-0.0184176858655543,-0.0781890706383951,-0.0764729930970361,0.00592738595755191,-0.0962426893932792,0.12371898165217,0.0391718912946165,0.0669886061800167,0.172093606409948,0.105612375041206,0.0382843480126398,0.103080636702795,0.00920283621848583,0.0675531284227867,0.107126355905411,0.0612893377494075,0.0301119250675966,0.00544754379827824,-0.0244565193102557,0.126175376187458,0.0814022852500785,0.0477322855848065,-0.000610168218676974,0.063133072114943,0.0435140728100382,-0.0942483169128836,-0.0865550575589265,-0.112162520840963,-0.0745583777095812,-0.15966593889087,-0.101476714013914,-0.195345842755806,-0.122865037085023,-0.1322899037906,0.0586610335419939,0.00811689480613209,0.125189004006344,0.0955451515269072
"8",0.138690797358176,0.0593536868369529,-0.0605114559419328,-0.0912899120199765,-0.0386152208808682,0.0277684304384786,-0.00746640070394528,-0.113384324192268,-0.180914452480911,-0.0987064207667204,-0.0701714274014629,-0.13747378040416,-0.122024096872203,-0.0506790680636237,-0.0956128195062717,-0.0677819168565734,-0.182933324117688,-0.143418803439448,-0.0906399206408016,-0.151293328219519,-0.0770133212967598,-0.155842236126637,-0.0901540352029413,-0.0870325510158368,-0.0385233725067773,-0.0916681942536862,-0.0267717487610691,-0.0242015150728841,0.00187357606199989,-0.0265337027720572,-0.166895193751409,-0.106841579754779,-0.0121679837427618,-0.0741244647510735,-0.144596728801997,-0.121697041933483,0.0379150856927525,-0.0679764632999917,-0.086173313129333,-0.135513958817585,-0.143864881338258,-0.0355745972046336,-0.0292259661056401,0.0897517767882699,0.177665767762003,0.0428552879027561,0.0196572072940643,0.156287928365496,0.0897889767014089,0.0836977034581519,0.00689849896862698,0.0269211879969461,-0.0845906828229267,-0.0743481452205246,0.030449712064105,0.0847693604148942,-0.0306549792373721,0.0339854193386421,0.117035127260572,0.132813735153085,0.0770351892435039,0.103167779342964,0.0592135366423797,0.0596537356233104,0.0449905507437013,0.0681627084819065,0.0580560035780921,0.160891718004685,0.0591050568358475,0.112152208261852,0.018058150813324
"10",0.0963454338156018,0.0740964025977757,-0.0831857881875726,-0.0768899647428296,-0.0199231848357785,0.00850146647420089,-0.108406223553293,-0.103871406149588,-0.0791993491955232,-0.0133484902193378,-0.0314957836433302,-0.0597036877869026,-0.0489460009251274,-0.108047757118667,-0.0672870109693847,-0.101695190728002,-0.112139839330643,-0.0725152784182748,0.00594255812251865,-0.123757952139714,-0.0708033152994603,-0.191007775412594,-0.100541618782454,-0.147116714062488,-0.00209591067859938,0.120752384420421,0.102964975753297,0.111258174715195,0.130133233598858,0.158476070115736,-0.0303119842999611,0.0422922657059388,0.0413025555810375,0.073103038501613,0.0135964551978683,0.0410336394621209,-0.0366447390078766,-0.0886352136741348,-0.0588616344818226,-0.0933823282033171,-0.132030811504274,-0.120223868059491,-0.048198096154802,0.0909844409848977,-0.00521814795914098,0.137686545842011,0.0279888698974342,0.105832157113344,0.0915842740898556,0.0713130523413258,-0.109771430583641,-0.121937696618029,-0.0653767313848621,-0.0661710800834723,0.0755706369751732,0.0853526516434274,0.00188915711241099,0.0672278689567068,0.132690415567806,0.138281672504038,0.103613469514163,0.134620537836863,0.0734036322977503,0.0572191757603494,0.0328338760903277,0.107633283491256,0.0457886430190709,0.0361859573197287,-0.0684894878531354,-0.0291710225380224,-0.00898048491102507
"19",-0.089521980428021,-0.143168384300519,-0.0874083803925224,-0.132077569418881,-0.052223245580874,0.0061172647462279,0.062782409080625,-0.123469477919654,-0.0484556447051631,0.0936749217539136,-0.0321705951162045,-0.121264654806631,-0.124799056745673,-0.0931090663120457,-0.146070305075625,-0.116327247360705,-0.139621222289256,-0.150168374344357,-0.222889585010253,-0.163635425380062,-0.103399430733466,0.0655974834844092,0.115851189829155,-0.0150746458221329,-0.0567047587049702,-0.218053199285671,-0.112348617110751,-0.200536468592467,-0.145491614337494,-0.126414420070439,-0.194217462365253,-0.146676793333771,0.0171084799677814,-0.0401559579852676,-0.132939537186708,-0.104270419688052,0.0469639139883343,-0.0926187783920491,0.0754784351664748,0.0367567073721089,0.0523401618007936,0.178349992211229,0.0949483742154362,0.126713110513722,0.183454290136634,-0.00573726039209422,0.094347597292901,0.146315960854913,0.0950150553357548,0.102030292020437,0.0827269760784557,0.0296469064960905,-0.0871861815470157,-0.110668295047705,0.0336895352884031,-0.00209695949737316,0.00363663133109976,0.0534874607582712,0.0563497627068326,0.114765800334753,-0.118950591951658,-0.118513957409691,-0.172844883375739,-0.112058744800444,0.0637293875082284,0.073811405965581,0.0658915452142981,0.0974710441010933,0.0251643473156525,0.118260616448044,0.094437658122993
"20",-0.0815673173130906,-0.11765470574398,-0.0710828660877016,-0.0119600261745494,-0.0702451234910534,-0.105372228404933,-0.0881215227901343,-0.0979571702236967,0.076234866874429,0.0806070431214999,-0.0089222459003324,-0.00432257686382179,-0.0427594159487627,0.108104202032472,0.0371735352929531,0.0549043593768112,0.0270715511311863,0.0173528107545681,-0.0924381166586812,-0.14296258834869,-0.0872371894148005,0.0773568412722164,0.129206198908081,0.0532361325435763,-0.0201257192402329,-0.0101482323942636,-0.0851166563807406,-0.0656663366055077,0.0112456779666269,-0.0418004264054793,-0.0374529140120642,-0.0604861428115798,-0.126618904172221,-0.0523203895170732,-0.00885124449758614,-0.0608323702102018,0.0104951554738066,0.0135087457863993,0.117022522522398,0.0957285173903928,0.0693108516440556,0.114046986088494,0.111436668187739,-0.103689949438622,-0.0430689288518729,-0.0542256424113712,-0.0170187422342314,-0.00811913899281856,0.00188265209868517,-0.0711100449092404,-0.0149681893424554,0.0699739802983225,-0.0757518836368928,-0.0747443754337068,0.0799326006851595,0.0667766508490534,0.0332167690011759,0.0734620422389202,0.0619381594605304,0.133921649175211,-0.0900365838576346,-0.0688248975990441,-0.138183572591945,-0.0872312650511708,0.0587284032824901,0.0986795048426647,0.086454715897066,0.0419846637577328,0.0966097561020282,0.100372554140826,0.0203902336093048
"22",-0.112067854393261,-0.169298943723735,-0.0794011804692294,-0.0804390761249143,-0.0178436765806337,-0.0493011219201451,-0.0172319460934107,-0.113884867865648,0.0216740297768985,0.0979402365434177,-0.0852642075847703,-0.121278070199012,-0.141339113371419,-0.0630149783966736,-0.136437959743628,-0.0328684172216173,-0.0794825784867752,-0.121145828311872,0.0640551164763364,0.0862908967280142,0.147049975644727,0.0811946233636238,0.140446973563584,-0.00938804441471343,0.0715392842064095,-0.143350526300575,-0.150488722056518,-0.159663453237296,-0.12871551347599,-0.0555757219639717,-0.0503543650201847,-0.042011166863538,-0.0982210422530079,0.0235744019119659,-0.0509946390893434,-0.0136813530818246,0.0926511816693065,-0.044430843161478,-0.079241398504019,-0.10869650316358,-0.147715479138205,-0.0117768023613945,-0.0798977551861716,0.0509217390937942,0.0620126248046966,0.00123181540080395,-0.0879385332240143,0.0972908893674504,0.0614416344833009,0.0410583749815012,-0.0938022105842273,-0.0928367873119141,-0.0679399402946582,0.0859918258670358,0.0659048090362136,0.0632227642487772,0.0679399056424266,-0.197953845916223,-0.134369741864044,-0.102027961068969,0.0910175922923372,0.118466227273838,0.0740318265529729,0.113298999901135,0.0532594644310422,0.0869323763246579,0.075329895636514,0.000748903807847373,-0.0429057113724851,0.102260240207715,-0.0260202646290101
"24",-0.155153247701784,0.0810282061611196,-0.0644114471617755,0.0140809444863267,-0.0381818923689138,0.112239817858343,0.180579050550049,0.114265694543355,0.0742753050856281,0.123873535276732,-0.129941260535185,-0.0649006861936678,0.0547151937870879,-0.0291941839891906,0.0957680981519284,-0.123210514751709,0.101249319841414,0.0500908178087776,-0.132711334562996,0.0757945738572331,-0.077261038694792,0.0523107174575948,-0.0803498699736825,0.0261204695721779,0.0210237584906041,0.0441141409317973,0.123915152307731,0.0186192056455444,0.0328416781930173,0.133180655527318,0.0548146995836009,0.0821522249741627,-0.0914107511475034,0.0410780725906675,0.06456869895777,0.157120103803255,0.133456366964713,0.158775356592277,0.184402182905172,0.112291031530337,0.105085483417965,0.0791890079283526,0.0930865563164672,0.118562901288259,0.0408978604507514,0.0685148002876524,0.161974507319821,-0.0280842131113628,-0.130810703876514,-0.0800709630639451,-0.116744043902986,-0.0993374117549503,0.143950585680323,0.0707861644714598,0.0781793460245452,-0.0727291125786894,0.0330450203380625,0.0916359717469621,-0.137686390516589,-0.0624348834409802,-0.105147355957335,-0.0873837468018352,-0.155057473300395,-0.0970261673951034,-0.226552166537645,-0.12500735411895,-0.166967525130541,-0.13735701676077,-0.138970985428058,-0.19773166038276,-0.169710915854097
"32",0.0909986690928851,0.0486431990101081,0.109230483827786,-0.121367837277423,-0.0406464047097148,0.128145849062004,0.0939767238119088,0.080703177254303,-0.126197877799013,-0.0915940733738246,-0.12579239947395,-0.0989814490770391,0.0482236843918915,-0.114004803576548,-0.102860517372071,-0.084227870097688,-0.0910588664584391,-0.074737106256357,0.0482966108439863,0.0767128774419798,0.018974941967289,-0.0224797970452343,-0.0162341467195302,-0.0563703294424574,-0.196682963248679,-0.0695995452506712,0.0994246757083575,0.0660568616096761,-0.0792624340651282,-0.0600499563044073,-0.0847295407272812,-0.02761541525735,-0.00418648614443456,0.0174901318913002,-0.0523201761456389,-0.00869043538886432,0.0152616124879339,-0.0476076227076355,-0.0960383571791692,-0.101614493673407,0.0658745791500175,0.0665582347077784,0.0765406182975609,0.0898691549171685,0.12253101315267,0.0221493913704323,0.0646167569003977,0.0648028891632489,-0.0040793437961213,0.0130139562126674,-0.0169265375131237,-0.0298563509335453,0.157582100685835,0.107048457155859,-0.143407497173887,0.0183947781446594,0.068238017506152,0.0364905815162416,-0.0425125203899815,-0.0785551669726212,-0.124141563745954,-0.0645195816219212,0.0798386240194238,0.12466002071218,0.0399923667313776,-0.0876227672462686,-0.139312428354071,-0.00181291434613524,-0.0471462446845279,0.0151221704251828,-0.0259590859422204
