"","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEblue4","MEblueviolet","MEbrown","MEbrown2","MEbrown4","MEchocolate4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen2","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen2","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEdeeppink","MEfirebrick3","MEfirebrick4","MEfloralwhite","MEgreen","MEgreen4","MEgreenyellow","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred3","MEindianred4","MEivory","MElavenderblush1","MElavenderblush2","MElavenderblush3","MElightblue4","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink2","MElightpink3","MElightpink4","MElightslateblue","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta3","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple1","MEmediumpurple2","MEmediumpurple3","MEmediumpurple4","MEmidnightblue","MEnavajowhite","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered1","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred1","MEpalevioletred2","MEpalevioletred3","MEpink","MEpink4","MEplum","MEplum1","MEplum2","MEplum3","MEplum4","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon1","MEsalmon2","MEsalmon4","MEsienna3","MEsienna4","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEskyblue4","MEsteelblue","MEtan","MEtan4","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEthistle4","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow3","MEyellow4","MEyellowgreen"
"1",0.068711170761346,-0.0569022231369035,-0.0594191274387023,-0.137631904224951,0.113481352000213,-0.0559413808956563,0.0443025051219799,-0.0405177721934616,0.106848058970928,-0.0088226261872193,-0.0386515223105436,-0.126658813107589,0.15636243520908,-0.0231538306183685,0.0701400464312161,0.0292160976360216,-0.0737253799185525,-0.097610976963739,0.0904390313801745,0.155856417289453,-0.161363276198205,0.151745544563479,-0.0842426350190207,-0.157383972837248,-0.0608416610325651,-0.0502661158270828,-0.0375027804159662,-0.0312197530571408,0.0769017681128769,-0.148003623310327,0.0925252676691645,-0.00527402411233513,-0.119565158173968,-0.0744839042300794,-0.103569799535441,-0.0911981449954872,0.142476794366562,-0.101280805474664,-0.10768287838205,-0.166803137602399,0.101455126911747,0.0762632374513428,-0.154645714963102,-0.0237812293887808,0.0520498621012785,0.100880758766058,0.0817580356325997,0.00106129896728457,-0.0511772241978689,-0.0330073648675483,0.171549645323577,0.0822506803099792,0.0902935717452557,0.0393682753197413,0.0423645730113905,-0.0057939816897693,-0.130503101582449,0.0820356917940257,0.0818060515265568,-0.0429096379227907,-0.0871484204365431,-0.153138684371068,-0.161390127375995,-0.0951445111637446,-0.115895386627706,-0.14622044658589,-0.000796177173106871,0.026383426547115,0.109773250839838,-0.0503538553113374,-0.0540566976887352,-0.0453845499902659,0.0775374907960841,0.0893022595464421,-0.0871228720662617,-0.0501861330168564,0.144136208668051,0.137545661991023,0.0127369629622529,0.0641245685264128,-0.096805017485162,0.0637022358592503,0.135405940251049,-0.0223335653333988,-0.0845692219773378,0.0383119037892986,-0.0233751413767812,-0.0269832851988584,0.0252025400502591,-0.00659368097218587,-0.127793653976329,-0.178730367334654,0.0165963666764301,-0.10308874229222,0.0688199911499601,0.0708839097825842,0.0434351359791627,0.098961950003631,0.0809476146919688,-0.0805841052592807,0.134345476505095,-0.114344963954815,-0.115894410120687,-0.206795191402426,-0.150469331527235,-0.176990257343634,-0.0430410936210324,0.0924788122199048,0.122772311518134,-0.0766916923026886,0.0560923071917876,-0.0886368399506463,-0.00824175531421035,-0.00837859670398143,0.081410848080606,-0.0700822563573316,-0.0995409307350485,0.0479951528500388
"2",-0.211326743157182,-0.115468627001201,-0.0310627729653491,-0.101124300928579,0.0983857389694942,0.126758250106782,0.0586720026585462,-0.123061612433177,0.106386832277887,-0.0300834069512568,-0.0146705869438291,-0.116690653172334,-0.0515783265472472,-0.0252465801585663,0.0415798867874351,0.0754049851777572,-0.135296940185142,-0.0184051247770588,0.0653604167718126,-0.0804276856880087,-0.0212623784816983,0.0464142941815638,-0.195182599670684,0.0696139324086044,-0.0645533508312907,-0.0685969724782809,-0.0235516159024919,-0.0224900256810596,0.0375798093134907,-0.128734383377459,-0.116092364570013,-0.000918298390863548,-0.0922955657269466,0.11985059279994,0.0942339353752688,-0.0912347660303739,0.0712501272411107,0.0454204165675382,0.0947717190321653,-0.110387614328299,0.081935389646733,-0.130841966341434,-0.149177364474132,0.0334628199269159,0.0547927771930152,-0.129410125022715,0.0214538168674047,-0.0599179904806876,-0.0509553526594896,-0.061210551467993,0.10102518293162,0.0746974061503161,-0.123692007306814,0.0102590334551409,-0.0261311823013345,-0.0507757280766133,-0.0476844515164152,0.0848249817185511,0.0755072927278725,-0.00665528906331858,-0.0890334335299886,-0.0721171266229376,-0.0706575586378991,-0.0809298645985667,-0.0723601640872769,-0.117362457506877,0.025033544181076,-0.110091739247227,0.0672389391023837,-0.0232273939851937,-0.0509886377483698,0.139927672334115,0.0847190980481781,-0.00329369752639652,0.0175833125009296,-0.0857351569679905,0.00391108404597795,-0.0836974979135494,0.0108174202578826,-0.170404953515557,-0.0681697181064602,0.0828735094669156,0.0262417386489762,0.187595027628126,-0.0880137039166697,0.0566153773317314,-0.0161387507482833,-0.0190613082974227,0.065427815749773,-0.115099053437786,-0.0092441383747025,-0.0823921841930965,0.0514437674742858,0.113985732227601,0.0110716778755156,0.163112163701251,0.0834068843607527,0.00158823844267138,-0.136065317532015,-0.0674764580415773,0.0725998696838572,-0.0977305483803594,-0.13339133677245,0.0481218609063788,0.062631408425732,-0.0546155619014059,0.000782372249923779,-0.0609228412583654,0.0687462582140029,0.0604234852245025,-0.0465649816631996,-0.112968684492081,0.0457454171399996,-0.00941810274148941,0.10619461409579,0.112325100280701,-0.156721726724194,0.0821179616654829
"6",-0.195345842755806,-0.0925056992966326,-0.042304908216033,-0.0813590854083978,0.140166970879519,0.12371898165217,0.0533834294036288,-0.129615279497981,0.0767378255782122,-0.0387943156078009,0.0955451515269072,-0.0821717752144854,-0.046055502866264,-0.0162529141918068,0.0520046744457558,0.0675143911810217,-0.140002631718532,0.00592738595755191,0.0746878906394187,-0.0627548683257027,0.00660819000972304,0.0657815913320694,-0.143198837829795,0.0510233799909173,-0.0650081022127188,-0.0490057732017173,-0.0341720395703671,-0.124762294404538,0.0439035484859014,-0.110990293363057,-0.110625247880216,-0.0956236532836001,-0.11918127036651,0.126175376187458,0.0998292580011389,-0.0865973661537216,0.139374769417775,0.00544754379827824,0.0946921984883263,-0.110876204902124,0.0761538869434118,-0.158788530053977,-0.112308557657462,-0.00894131406708384,0.0612893377494075,-0.101476714013914,-0.083009985912444,-0.107547840153687,-0.0557056223913664,-0.116264859488659,-0.0370817891607621,0.0707655638754898,-0.12132821860677,-0.0187014441328351,-0.0108154719217004,-0.0488653253190838,-0.0313039623790436,0.077245051919778,0.0821927672624236,0.00782202713326793,-0.0726152392538891,-0.074315947281389,-0.0973400664376113,-0.0794674013826514,-0.0670956890296509,-0.112042253362592,0.0104727288690743,-0.0515478192198248,0.0301119250675966,-0.0426819851307326,-0.0525603791647769,0.172093606409948,0.059446168736482,-0.00384471972751849,0.0454059882749584,-0.0764729930970361,0.0671633407813817,-0.0727578670783265,0.0159336642284991,-0.161445048296732,-0.0928580807712377,0.0416064580219973,0.0194223899941624,0.155235907149641,-0.0823377156837794,0.0416791521351559,-0.0537153459310588,-0.031754064014223,0.0322391379906453,-0.0784791697697536,0.00235870598837376,-0.0962426893932792,0.0253740695775426,0.108217051890017,0.0190854991186747,0.213206203402243,-0.00688169549819889,-0.000610168218676974,-0.130108261294512,-0.0865550575589265,0.0752015739903924,-0.0943421421880004,-0.0618834529826681,0.0435140728100382,0.0693223884942482,-0.0996339320324925,-0.0244565193102557,-0.00420850360458189,0.0841194929713767,0.0382556310487237,0.0437081770771371,-0.133552343170857,0.0112284848755383,-0.0113484820712767,0.105472110233129,0.0675531284227867,-0.165556642467587,0.0708762617784854
"8",0.0449905507437013,-0.086343392382873,0.00524745165717431,-0.172039531254794,0.137738198917462,-0.086173313129333,-0.0327719819405308,0.00392450857814998,0.151588995958877,-0.0880964335516405,0.018058150813324,-0.0122970738226926,-0.0901540352029413,-0.0157564626988315,-0.0870325510158368,-0.0351213476136919,-0.109372345193866,0.0379150856927525,-0.151214175522338,-0.0770133212967598,-0.155510477504052,-0.0131040279302253,-0.162571930901487,0.0593536868369529,-0.0290488078166927,-0.106678180452396,-0.186298063418262,0.000183164035955378,0.0649335207639189,-0.124301225190579,0.0774313441953731,0.0603674081411596,-0.0773803574639882,-0.0845906828229267,-0.1036378273987,-0.0597034317881216,0.109987903532257,0.00689849896862698,-0.099924989386962,-0.193439969124371,0.0491340195358836,0.0600005723072064,-0.135631656299851,-0.0257911345010483,0.0897889767014089,0.0596537356233104,-0.13747378040416,-0.0265337027720572,-0.131319573250373,-0.0951233162820551,-0.0701714274014629,0.126641068498279,0.0663491561038979,-0.00946510405408429,0.0430376691807489,-0.00557064860805532,-0.156473305431925,-0.0573872526586395,-0.155842236126637,-0.0487989670695378,-0.0594049655407699,-0.100611456863739,-0.110431196455437,0.138690797358176,-0.0941566411067967,-0.0787516870853738,0.0562497904339546,-0.0433754044135672,0.0836977034581519,-0.0121591113631535,0.030972905431636,-0.0355745972046336,0.162005751164398,-0.106435079922562,-0.0719631417798354,-0.121697041933483,0.0688525477402844,0.107778793263041,-0.01964156861616,0.00854341654169316,0.0137451187254847,0.154707584352082,-0.0184011524593911,0.0277684304384786,-0.135188947895879,0.093419857152609,0.0507559366977373,0.00140811244287725,0.100316957801852,-0.0898408766785099,-0.145293932254565,-0.0679764632999917,0.0291723734640463,-0.0322742172016318,-0.0385233725067773,0.0919708011519571,0.0819722565252101,0.0847693604148942,0.0584491095377177,0.132813735153085,-0.0244542806171928,0.116606335412396,-0.128408488442328,0.0339854193386421,-0.143530212320172,-0.0255162285896063,0.0269211879969461,0.00117968931649851,0.124719706413154,-0.00913926955385609,-0.0338233180531164,-0.144023037373586,0.0194722305348445,-0.0534490103379372,0.179001624245932,0.0196572072940643,-0.179519778825436,0.0979698010703282
"10",0.0328338760903277,-0.107093535443592,-0.0690458048409522,-0.120589856060213,0.0482514059422754,-0.0588616344818226,0.0618014767384021,0.0106473189471075,0.132381376540754,-0.0468332343681252,-0.00898048491102507,-0.0609587501288668,-0.100541618782454,0.0707418973142456,-0.147116714062488,-0.0180281971657678,-0.0209584648483599,-0.0366447390078766,-0.126513977704367,-0.0708033152994603,-0.114983777067007,0.0469465226485551,-0.0242238244389537,0.0740964025977757,-0.112475734910993,0.0457119443494194,-0.120085749587823,0.130459174101223,0.0828074312741873,-0.0687518523474391,0.10258714009342,0.119319672688287,-0.00401337415564786,-0.0653767313848621,-0.0785588675614902,-0.0825707247305792,-0.0147380495477783,-0.109771430583641,-0.0923394269682666,-0.0989676968178028,0.163743524549163,0.0719857900480739,-0.0522326047042575,0.0980493618400015,0.0915842740898556,0.0572191757603494,-0.0597036877869026,0.158476070115736,-0.0176942901716731,0.126177502463798,-0.0314957836433302,-0.080922492789956,0.106640200618876,0.0851004006591907,-0.0937064432060729,-0.101146096272842,-0.00867026485421935,-0.0578558407455621,-0.191007775412594,0.0874033936076388,-0.114384799190028,-0.119973804830316,0.0363281109095179,0.0963454338156018,-0.0773124679267507,0.0590708611272014,-0.106715116298238,-0.102461564948316,0.0713130523413258,0.04111245728361,-0.1206572465387,-0.120223868059491,0.0355455849461031,0.00227335465420501,-0.00550479794445285,0.0410336394621209,-0.0836859285101561,0.137527414734094,-0.0335171856276244,0.00788442118462404,-0.062256766761936,0.134497246592191,-0.0163586493445965,0.00850146647420089,0.0140694468522406,-0.0210151807292066,0.0628614278905253,0.00466506673794999,0.0560707218459666,-0.0938880881641204,-0.132234040386977,-0.0886352136741348,0.127946484979161,-0.0509118246307768,-0.00209591067859938,0.0315322094666058,0.161130876518807,0.0853526516434274,0.046467943441154,0.138281672504038,0.113338290938252,0.131149605637244,0.0414267735837138,0.0672278689567068,-0.132754728870696,0.105798467985964,-0.121937696618029,-0.119954261765703,-0.0559213059623912,-0.108590700424083,-0.121784358259461,-0.0711167911453632,0.153448393653975,0.0782598255553598,-0.00325790227075687,0.0279888698974342,-0.0806064578175765,0.125131118063928
"19",0.0637293875082284,-0.158623967942495,-0.0559172839722506,-0.130447564575869,0.1631521351708,0.0754784351664748,0.0189950694723556,-0.0873345582496022,0.0973245636689749,-0.0770232631458802,0.094437658122993,0.126026924037651,0.115851189829155,-0.0196762438944736,-0.0150746458221329,0.04384443046312,0.0914049476072135,0.0469639139883343,-0.159483086938409,-0.103399430733466,-0.00582401852589426,-0.0619512390004082,-0.194663357531397,-0.143168384300519,-0.0820371043479603,-0.0716007280311637,-0.146806625511071,-0.142341326976779,0.0405033906324363,-0.130632043845106,-0.119477663794991,-0.120537977408214,-0.190008370494165,-0.0871861815470157,0.0703312070703134,-0.0886481360888888,0.124649749416622,0.0827269760784557,-0.112266706122828,-0.137723244329767,-0.149887882443985,-0.173681413874253,-0.121583074196406,-0.112099763834089,0.0950150553357548,-0.112058744800444,-0.121264654806631,-0.126414420070439,-0.234350803345066,-0.218580601376762,-0.0321705951162045,0.121190685509086,0.0719579687734049,-0.0633105141935818,-0.0337832463198483,-0.0175148967336556,-0.0970744621228316,-0.127793812904928,0.0655974834844092,-0.0146261031128621,-0.0948691269874314,-0.0888940988048578,-0.0972430516730424,-0.089521980428021,-0.133480901779036,-0.157403729243034,0.0410800247918115,-0.0836316551516238,0.102030292020437,0.0172812478807726,-0.00908982679476322,0.178349992211229,0.098955992547109,-0.217718411889433,-0.0191779259906988,-0.104270419688052,0.0371072766303487,-0.111288095335724,-0.0390986683909289,-0.0163717260697785,0.036531806054079,0.163182142561472,-0.202328591027131,0.0061172647462279,-0.143084186955983,0.0643529976677609,0.0638545998366754,0.0221005750297785,0.149732403450357,-0.138773578426431,-0.14590504365372,-0.0926187783920491,0.0176577877398252,0.100383480719905,-0.0567047587049702,0.19637789524141,-0.0298353892030292,-0.00209695949737316,0.0671520512545959,0.114765800334753,-0.11494000574176,0.0581709628142787,-0.139111425115331,0.0534874607582712,0.0539613473879561,-0.117165278136853,0.0296469064960905,-0.0546993908779232,0.118208820218436,0.0631991423012561,-0.0536026739043539,-0.151275917627789,0.01944992337367,-0.206815083606824,0.185313642006581,0.094347597292901,-0.0489444458585072,0.119772529094251
"20",0.0587284032824901,-0.0151683153849221,0.0626854436916213,0.0429835200088542,0.0354971962699202,0.117022522522398,0.0792688618303732,-0.0607621271457835,-0.0215657784477374,-0.0740410260177764,0.0203902336093048,0.158208228674582,0.129206198908081,-0.0590781895350071,0.0532361325435763,0.0542132049082832,0.0758810103081306,0.0104951554738066,-0.141474998305815,-0.0872371894148005,0.0726254353863161,-0.0156706777945257,-0.0410578422155946,-0.11765470574398,0.0895538475512168,-0.0505906864209527,-0.107320834562966,0.0104923967594154,0.0785881835939834,-0.0446707980128755,-0.0919713551173829,0.0422528644518924,-0.0139180093496212,-0.0757518836368928,0.0992357090905765,-0.0730268269553589,0.0960426592713374,-0.0149681893424554,-0.106643847031772,0.00123996647986418,-0.0679054468167283,-0.135954141707414,-0.0381202780339726,-0.0863024878439098,0.00188265209868517,-0.0872312650511708,-0.00432257686382179,-0.0418004264054793,-0.042782295640237,-0.00316930632870689,-0.0089222459003324,0.12422751329379,0.0976829886669368,0.0561034917310108,0.0831767276895384,0.11844964887365,-0.0140103053693215,-0.0898181265801802,0.0773568412722164,-0.0503404525318659,0.110254881662391,0.0779997022877023,-0.0127367786229,-0.0815673173130906,-0.0136180227620046,-0.0269445829474929,0.110731988088596,0.0742190588830616,-0.0711100449092404,-0.126717578583951,-0.00022340301885262,0.114046986088494,0.0446245466329903,-0.0744331705839536,0.0771976371530118,-0.0608323702102018,0.085228374642472,-0.0699935689674843,0.0790765960649632,0.1090435530515,-0.0616825268099089,-0.0695477298045749,-0.156577810397681,-0.105372228404933,-0.00479929406049876,0.0928386663847625,0.0883994202210314,-0.065065927311412,-0.106751476314113,0.0448639122457068,-0.0660911474362023,0.0135087457863993,-0.0572915554301912,0.113196492082256,-0.0201257192402329,-0.0184985960832346,-0.0325423528617208,0.0667766508490534,0.086613696582297,0.133921649175211,-0.102615870387246,0.0627023077957478,-0.0982276695108393,0.0734620422389202,0.0698358173518271,-0.0495617944418776,0.0699739802983225,0.0427888283814508,0.10928637676659,-0.0882035549888822,-0.0345388833152456,0.0185891585592708,-0.083524257129533,-0.0621122105356894,-0.0430238384043607,-0.0170187422342314,0.0768875884696076,-0.0773973109590495
"22",0.0532594644310422,-0.0789820517601611,-0.0497107748874204,-0.0605956912803566,0.119082645646324,-0.079241398504019,0.0291434829045297,-0.0235821760631819,0.072049027390154,0.00573992151787676,-0.0260202646290101,-0.087205721276925,0.140446973563584,0.0147341341916651,-0.00938804441471343,0.0333329293184884,0.105489949777697,0.0926511816693065,0.0873302717512592,0.147049975644727,-0.117671372993994,0.127766525153464,-0.055938009433832,-0.169298943723735,-0.0758568732500231,0.0190294585660226,-0.0119914658484451,-0.127167147648856,0.0776041587075907,-0.131951043866303,0.0913651171584932,-0.0610950404468719,-0.145736271304771,-0.0679399402946582,-0.0831830860494412,-0.0793338869811098,0.114350800957242,-0.0938022105842273,-0.106066814312512,-0.107799782962044,-0.114407157561856,0.0727336470361161,-0.128153952601018,-0.144052539822863,0.0614416344833009,0.113298999901135,-0.121278070199012,-0.0555757219639717,-0.0586942644162234,-0.148123615886748,-0.0852642075847703,0.000844688572039105,0.0886720251333399,-0.0430814779721649,0.0195149862739875,-0.0492613207689804,-0.0145475799610657,0.0848226675155378,0.0811946233636238,0.021990710670811,-0.0562856925378024,-0.109354951678958,-0.154562165308746,-0.112067854393261,-0.0818947208637397,-0.0636419829067761,-0.0719506018293101,-0.00293315017440524,0.0410583749815012,-0.0986048174442652,-0.0347721243743751,-0.0117768023613945,0.00243765275915452,0.0449918132337063,-0.110505795385303,-0.0136813530818246,0.102445735646603,0.120021339958266,0.0255132104898171,-0.000123380730658176,-0.00703671473849568,0.0684994285986789,0.118268176729733,-0.0493011219201451,-0.0193832883752708,-0.00860945513515259,-0.0299480087591133,-0.0382610494507771,0.0585614350873742,-0.0450369466929358,-0.118984413528539,-0.044430843161478,0.0365682792600958,-0.0807419937653007,0.0715392842064095,0.0850966399073144,-0.054669877184228,0.0632227642487772,0.0772790263160925,-0.102027961068969,0.0779782353993963,-0.134091387721772,-0.0350749722890144,-0.197953845916223,-0.145564465380011,-0.233594630689959,-0.0928367873119141,0.0529932529513962,0.0568318182057837,-0.0195624082498079,0.0544693327033586,-0.121764670808157,0.012926164062628,-0.166739127505385,0.0628327046299611,-0.0879385332240143,0.0196826402002226,0.0562461741842347
"24",-0.226552166537645,-0.123701108251362,-0.0811407737753273,0.09193380181483,-0.104098433070835,0.184402182905172,0.147413245511849,-0.0735494199146656,0.0023075228991899,-0.0259293020180751,-0.169710915854097,-0.0495093809601184,-0.0803498699736825,0.077366881778697,0.0261204695721779,0.0483719188061485,0.10763149311144,0.133456366964713,0.0753557457816749,-0.077261038694792,0.12519453827979,-0.00616103693442373,0.0528231237717433,0.0810282061611196,-0.124483582155187,0.0729791166357769,0.0362917701433233,0.0380064027237507,0.035673565096119,0.0474652202742829,-0.107103439110429,-0.03136789716714,0.0378738522530057,0.143950585680323,0.118727149924119,-0.063530618748093,-0.180998264531614,-0.116744043902986,0.11629928071677,0.125509346285136,-0.0142413261594665,-0.154427487958708,0.0488150379044095,0.1213337244883,-0.130810703876514,-0.0970261673951034,-0.0649006861936678,0.133180655527318,-0.0922152068830455,0.0374462503093105,-0.129941260535185,-0.219437124557697,-0.126738490770416,-0.0242570538552468,-0.185087031725797,-0.0805786501280912,0.0889453073714011,0.0696392194099855,0.0523107174575948,0.0189313187086548,-0.00446444894358473,0.156532920406321,0.20029367331587,-0.155153247701784,0.0170342190016097,0.0650126482392857,-0.127651087510302,-0.147512715710806,-0.0800709630639451,-0.0917780421010761,0.0913753840904625,0.0791890079283526,-0.13831474670332,-0.121585398205897,0.0667068510114279,0.157120103803255,-0.203896058468643,-0.0816779503570147,0.0131677608730872,-0.185290371792862,0.224784138036645,0.0958252454332088,-0.166328753390259,0.112239817858343,-0.000930144055888661,-0.162125524104555,0.231760090940142,-0.00925311858911969,0.13183406117989,-0.102024942514229,0.0969884648068283,0.158775356592277,0.0863343979888418,0.0956542486926895,0.0210237584906041,-0.0136178835971942,0.0356051022719992,-0.0727291125786894,-0.165916291771537,-0.0624348834409802,-0.198925049654398,-0.139391991146838,0.119319875269857,0.0916359717469621,0.104100970067942,0.0887433574145309,-0.0993374117549503,-0.170454305768562,-0.227037492943296,0.182463145354002,-0.116090781461155,0.0491535876088959,0.102319123088581,0.0306931839458021,0.0379432281888109,0.161974507319821,0.0686333720823355,0.051090871338805
"32",0.0399923667313776,-0.0546090498636789,-0.0626154036384224,-0.0955894166470968,0.0721725234503103,-0.0960383571791692,-0.152853685614828,-0.0838457315106891,0.0434510814618635,-0.0242324567187143,-0.0259590859422204,-0.0995053942994208,-0.0162341467195302,0.0527546328682581,-0.0563703294424574,0.0753879097966813,-0.0835947133104799,0.0152616124879339,0.0780624823915305,0.018974941967289,-0.0625428379979619,0.0536312749989672,-0.0870758191139167,0.0486431990101081,-0.0871892461824184,0.00219806271349486,0.012252365240586,-0.0773667849328789,-0.134644406080073,0.0297973874186815,-0.123999092726555,-0.109803229293273,-0.0783333710958711,0.157582100685835,-0.111611993603579,0.108595000426939,0.0240976745596897,-0.0169265375131237,0.0917020623425293,-0.0801575451163818,0.091813634912021,0.0791619292528809,0.0675574829926485,0.100108854180732,-0.0040793437961213,0.12466002071218,-0.0989814490770391,-0.0600499563044073,0.037439172875051,-0.0526278777371871,-0.12579239947395,-0.0275516654565529,-0.0858336419493572,-0.236865462909233,-0.0489279624158301,-0.100957697888867,-0.0222244530719757,0.114418760430906,-0.0224797970452343,0.0324663624010414,-0.112557208973725,-0.117548699423008,-0.0786665803298408,0.0909986690928851,-0.12292556579438,-0.0454002072194188,-0.0718626569333803,-0.0883444920217683,0.0130139562126674,-0.00346547714604731,0.00132930289320723,0.0665582347077784,-0.0018423751318785,0.0156171844958753,-0.158188716470436,-0.00869043538886432,-0.00230133392758276,-0.0633323220595091,0.00491084195237503,-0.140257149502358,0.0434727054660379,0.0636456282376773,0.126450247182629,0.128145849062004,-0.0527926016246378,-0.0110307853549984,-0.12689740231777,-0.0188172609598154,0.101329642656514,-0.0801459693381885,0.0399176008440516,-0.0476076227076355,0.00785453656153887,0.0792841908845701,-0.196682963248679,0.126441811890412,0.00282711200355239,0.0183947781446594,-0.138349205817409,-0.0785551669726212,0.103311574805769,-0.0423124820121934,0.00916056018310266,0.0364905815162416,0.0672893978900957,0.00564015694560465,-0.0298563509335453,-0.0701430123469272,-0.0121277773110959,0.0949262125844037,-0.0176353674456758,-0.0755647809895539,0.0277770783924254,0.0519423321128177,0.122807627238694,0.0646167569003977,-0.124930596682783,0.0787763800009454
