"","AEcyan","AEyellow4","AEblue4","AEdarkseagreen4","AEsienna4","AEdarkolivegreen2","AEcoral3","AEpalevioletred1","AEplum3","AElightgreen","AEskyblue1","AElavenderblush2","AElightcyan","AEnavajowhite","AEmediumpurple2","AEplum2","AEbisque4","AEdarkorange2","AEmagenta","AEbrown4","AEnavajowhite2","AEdarkturquoise","AEpaleturquoise","AEhoneydew1","AElavenderblush1","AEantiquewhite2","AEpalevioletred2","AEskyblue","AEgreen4","AEthistle","AElightcyan1","AEthistle2","AEgreen","AEorangered4","AEcoral2","AEthistle4","AElightpink3","AElightpink4","AEthistle1","AEmediumpurple3","AEred","AEsteelblue","AEplum","AEnavajowhite1","AEyellow3","AEsalmon1","AEtan","AEdarkseagreen3","AEdarkviolet","AEdarkgreen","AElavenderblush3","AEsienna3","AEcoral1","AEsalmon","AEmediumpurple4","AEmidnightblue","AEblue","AEsalmon4","AEbrown","AEpink","AEivory","AEpurple","AEviolet","AEyellowgreen","AEcoral","AElightsteelblue1","AEdarkmagenta","AEskyblue2","AEorange","AEpink4","AEyellow","AEpalevioletred3","AEthistle3","AEfirebrick3","AElightsteelblue","AEgreenyellow","AEroyalblue","AEdarkgrey","AEdarkseagreen2","AEantiquewhite4","AEmediumorchid","AEfloralwhite","AEplum4","AEblueviolet","AEbrown2","AEskyblue3","AEdarkorange","AEmaroon","AElightpink2","AEsalmon2","AEchocolate4","AEblue2","AEorangered1","AEdarkolivegreen","AEfirebrick4","AEmediumpurple1","AEdeeppink","AEmagenta3","AEtan4","AEdarkslateblue","AEindianred3","AEturquoise","AEblack","AEgrey60","AEmagenta4","AEsaddlebrown","AEorangered3","AElightslateblue","AEplum1","AEdarkred","AElightyellow","AEdarkolivegreen4","AEskyblue4","AEindianred4","AEhoneydew","AEwhite","AElightblue4","AElightcoral"
"1",-0.434086080487864,-0.760426965539201,0.325920118877767,0.558463695989404,0.723003985290085,1.07480232250709,0.232528056733101,0.0851530192256058,-0.143505218324058,0.577859875967706,-0.595935662960854,0.666924341698065,1.12758269336213,-0.385851399967133,-0.0054750805499916,0.282417084123863,-0.442760391252524,-0.462542157684641,-0.469702638383451,-0.315076123930701,0.584400392926966,0.614901438284998,0.950667966384525,0.561932772554667,0.772378417248511,0.547059050936012,0.422434453084845,0.587315685404146,-0.741038648959801,-0.285706451995421,0.579987955680519,0.97888547647171,0.71978411437799,1.01892200444889,0.47604299140353,0.43724041061979,0.316649167006544,-0.0487994119005769,0.593513350234033,0.194822663542421,0.0162901248723298,-1.41434075948991,-0.156640989074589,-0.304452180949912,-0.535015531077726,-0.786031944509433,-1.03256860588568,-0.205700364908997,-0.0636476443378361,-0.70189419615003,0.0176736404513538,0.310539321883278,-0.198044143458092,-0.0104403214780329,0.878864154445314,-0.334062609477488,0.62581779623687,0.534163976433171,0.643484602960723,0.306207576641033,0.400977006215619,0.11481528009631,-0.066857328581843,0.376585704702479,1.12479879727246,0.5720574056928,0.957296493126326,0.821906328263053,0.583366769092437,0.961526555109836,0.441593019417724,-0.578566036247188,-0.588921230641487,-0.545748006288934,0.567627603865436,-0.676547150648306,-0.73179304091979,0.670023086749281,-0.261967153790326,-0.376760246609116,-0.841324170595973,-0.676721141475339,-0.191562242850706,-0.290582892456297,-0.0445205983012097,-0.765595872547991,-1.07630669830971,-0.639782096218844,0.307394178716888,0.50946030657485,-0.827025911326102,-0.368770734315798,-0.584024158144178,-0.956730443311164,-0.753171457012342,-1.02541126484029,-0.867145476189525,-1.15863478830356,-1.27177966408187,-1.02850380613343,-1.17997085861268,-0.490797410535652,-0.685840530854992,-1.16907015429189,-1.14390670336291,-1.01002908490603,-0.346798334430851,-0.934669627321806,-0.59705841201781,-0.331304464495918,-0.335337889248352,-0.591196281955387,-0.834453001401532,-0.15779683914671,0.758842618296515,-0.0248662817009854,-0.428640265583103,-0.182325231020787
"2",-0.817236694169667,-1.22161098208474,0.39263954009032,0.293374927117108,0.00442109294669896,0.266215146316732,0.597846812330892,0.0727594326244124,-0.105184591402093,-0.859064157308942,-0.484047311377365,0.179508984458784,0.673602873844027,-0.346176729475646,0.19560745673301,0.429278300708203,-0.205466237197009,-0.498196567879879,-0.475179306194927,-0.128326228234813,0.645779918633984,-0.837881829645751,-0.580263480338957,-0.986012306978878,-0.932785032780688,-1.60157736792131,-1.11053769480854,-0.987234326400022,0.362696652653832,0.0167167697581297,0.523866897025858,0.534858400360723,0.322728761964338,0.0159062339780887,0.282956717389766,-0.349095461835103,-0.181934811081505,-0.340939592609491,-0.409027744775951,-0.823183818247556,-0.604443081918208,0.317247172612618,1.25738416747284,0.923265984899666,0.818210711408653,0.839814188097343,0.409686612353613,-0.141241999074077,0.00822287591352322,-0.146165066365785,-0.38613449764463,0.619631446369543,-0.196778546746715,0.165960025984503,0.531714908484858,-0.178016083226357,0.545711053512788,1.24908559643063,0.67501281935588,0.428612618065154,0.414770989365178,0.348208296670849,0.31020195320516,0.649283345930343,-0.370125041602427,0.550269299650276,-0.492212612642271,0.468565970801713,-0.00171294281291655,0.154137530398568,0.604610072790679,-0.388470532205195,0.425863010108324,0.880427424230745,0.54167687226068,0.604886057085842,-0.0322853413365627,0.461779261420327,-0.15545799131945,-0.759999312964101,-0.521283384265267,-0.682202649698992,-0.149658653327781,-0.905878832938607,-0.218249790490314,-0.664881699240024,0.491917255771831,-0.542313349749232,0.0457890949027569,-0.0344909040470638,-0.829892068323506,0.880151176140696,0.113464622713136,-0.133388858954494,0.680537446479534,-0.825081232288124,-0.666000027958289,-0.561141796528591,-0.390639585340005,-0.847472158028875,-1.14697338647916,-0.621054288403581,-0.482067512916676,-0.777312787652866,-0.494971123868513,-0.449970478511454,-0.645057571559694,-0.354244961341061,-0.628100903797128,-0.490510200690061,-0.0461572671420923,-1.41253918643467,-0.95154498733426,0.214106193881547,0.606483082868519,-0.0680185447392373,-0.28187911708229,-0.379915861838705
"6",-0.824535501217418,-1.29918451131315,0.343268585134612,0.337437871957517,-0.0310960696402145,0.385580537710088,0.550592312821694,0.127396224416213,-0.345647475916759,-0.840159044180002,-0.631912949316519,-0.670646474694089,-0.250957168587601,-0.357807370534812,0.0755603456113055,0.313055456220026,-0.259219362002594,-0.497736266924164,-0.366833203657494,0.736787623568154,0.441637119178242,-0.781170145503411,-0.506996026698254,-1.21064377983629,-0.705603159066832,-1.46160330609173,-1.05737054190209,-0.940881136677178,0.0869542441478275,-0.171895701195606,0.496050386033915,0.649110671262024,0.705734672273308,0.472529683796954,0.382204153133741,0.351074895684331,-0.0789567115891629,-0.33992645444894,-0.0337296356380438,-0.379538408978871,-0.378286414411275,0.296521591265382,1.03670643964091,1.14831021608011,0.494103047008485,0.793648380988017,0.473260421995246,-0.88737400327275,-0.573606296923923,0.0205238277430955,-0.678942417176495,-0.0546180789867758,-0.138358831515342,0.0559317159193056,0.23836023970253,-0.35299339955461,0.785940549347139,1.61697446986027,0.480742492570812,0.203210459845652,0.465797093381625,0.152475544599659,0.0739619839296669,0.558948480512249,-0.325279663679801,0.592725195921214,-0.381465285052178,0.481687503110562,-0.00434564822540127,0.087941352585316,0.590264622374006,-0.52310562417203,0.260607380817665,0.939440764987187,0.471379278624518,0.612884548885781,0.0303242780531663,0.536380319255984,-0.216432213158126,-0.581685444419542,-0.475558672792864,-0.638988925690353,-0.237422125682511,-0.966275385985574,-0.271786102567531,-0.639132424711014,0.355337547146139,-0.552075813538332,-0.187443440816204,0.0365071211087406,-0.553528530228252,0.870078776139698,0.314363251132421,0.0690399270444047,0.73729123615334,-0.778445274978788,-0.856225206372727,-0.571992047074852,-0.702815076021292,-0.724896493921737,-0.863734712258505,-0.730862492152936,-0.368117934766008,-0.777492567596827,-0.683013284515158,-0.563414601328421,-0.57936057388084,-0.222475267535448,-0.585679074581759,-0.339687474870967,0.0633300036550328,-1.00932423490371,-0.431118466487233,-0.0988912366651652,0.563887510481395,-0.0674300924742133,-0.326569552210927,-0.791340767252044
"8",-0.64682013380623,-1.40553005811383,-0.242644793965008,0.474132924732601,0.629581873333688,-0.0793539253492,-0.367111684995305,-0.158603000480238,0.31571880712681,0.419642261636755,0.988840770489572,-1.11292334003924,-0.449841677557457,0.206296931948759,0.416500741645733,0.717904886926384,0.0292499483597455,-0.231901993237671,-0.291296778323826,0.129472713893507,1.27780440104005,0.534638058289686,0.744403992738236,0.438141664569852,0.343648918928102,0.339809196375344,0.0539663159634944,0.416560959555113,0.0500400213794697,0.181867363386317,0.869958384153827,0.982432949582819,0.51657904940646,0.481247260097915,-0.622202297433282,-0.271235453221835,0.324865486149877,-0.0147814416121841,0.00542509434083994,-0.323460029682092,-0.451833865075011,0.20826329405719,0.167496967326023,-0.250067024114199,0.157047586687057,-0.218189377552957,-0.963069411524192,0.0288487278657659,0.417381880859331,0.245284483591685,-0.186560355583561,0.602854802786607,-0.129384881337358,0.0610239441313127,0.659342761096466,-0.107445851908482,0.735583246837161,0.685046782065797,0.962324311657454,0.871596333160046,0.688236999311007,0.547610699697052,0.123212425808763,0.780607958368116,-0.613515192452548,-1.06939743442528,-0.453272340308937,-0.140905604926416,-0.668763565560743,-0.147373430354845,1.03180472621236,0.0749116340089367,-0.0709647962086989,-0.646508981981814,-0.410249763853688,-0.613891074822112,-0.826610109871972,-1.08163570697427,-1.28635379660035,-0.523762207728464,-0.666273637148678,-0.4192875306406,0.0277520525793774,0.0319376414250747,-0.641381223345002,0.789248409089217,0.386735967918292,0.953957960864001,-0.0297889208890081,-0.262979981219783,-0.095733271119321,-0.607290213802205,-0.503015050283238,-0.886059692736591,-0.769974810079724,-0.554081721608031,-0.512356284887487,-0.752144606968445,-0.188456856277203,-0.770269078464573,-1.07026799025612,-0.774028185690768,-0.819268057333139,-1.35731687286315,-0.787695585666575,-0.38673253724295,-0.897006145274693,-1.13848199388929,-0.958445579481613,-0.719374871632985,-0.388029200981363,-1.15594257812483,-0.922844071282404,-0.176844038163835,0.369419153605907,-0.345874223417317,-0.779538455498287,-0.624402415114898
"10",-0.126129893476774,-0.626731059291547,0.435553797968949,0.631290865764844,0.643597745142185,0.301034670987963,-0.227905287982625,-0.282057803708838,0.428916133693533,0.711905999839338,1.00956883434224,-0.473439113053429,-0.220965967356776,-0.80401567000907,-0.787974047936978,-0.145937300574141,-0.517250971448807,-0.87239756394932,-0.593842829635818,-0.0877548677228449,0.285395870490338,0.726160515983569,0.922737008338205,0.529472518603679,0.303761845628286,0.243319642407856,0.0500471990636982,0.333639979634062,-0.841401280076289,-0.826953027838315,-0.564196639667913,-0.459210072767439,-0.108191562209295,-0.591036315108272,-1.07372322584832,-0.937557044590489,-0.688333547052658,-0.739146762490943,-0.769511137738372,-0.763734964327438,-0.456758704456538,0.440140898059523,0.0936080195142746,-0.794011961753157,0.208063379631294,-0.353643844991691,-0.903903250195763,0.981373228322764,0.81534377333725,-0.268631223679659,1.02281654315352,1.19191616337033,0.525141303748546,0.610049966829071,0.619754321938728,0.33049675122762,0.260738465876788,0.195872996285062,0.843992721995504,0.784170436372829,0.704647731858286,0.355319867932059,1.06334756672441,1.00380253604034,-0.695389299865342,-1.3209727597323,-0.429010517237945,0.655199793128896,0.0334910094924214,-0.125734499883787,-0.0641952699329093,-0.353247052478216,-0.808681866293723,-0.495575968998003,-0.375088532371057,-0.58925284867619,-0.745446642557908,-0.906369757736,-0.806726206814841,-0.604983413174743,-0.542024667094612,-0.576072439371915,0.0371905587083467,0.0871912635591894,-0.33509242513148,0.892110092589177,0.472005414746457,0.620319217196376,0.68174634195097,-0.0756209959503003,-0.384472639017959,-0.429247865064029,-0.0431661616812424,-0.625906073530578,-0.514577085690656,0.434445420100377,0.0115443047555722,-0.905032008705634,0.753227952332792,-0.42297687808527,-0.386343809099183,-0.335437347622953,-0.556883277348322,-0.701007718414844,0.274395225457784,-0.477423988193891,0.31226105855202,-0.0423670269432172,0.129000985100562,0.349655077160996,0.68330892506048,-0.161268227261601,0.29407981335694,0.741512772068483,1.21245116385884,0.562155440920426,-0.0585453418275024,0.926773906638931
"19",0.540321103542566,-0.389052958928113,0.12935100137641,0.287056873354103,-0.00297001391012997,-0.412857717259086,0.320674664822108,-0.293664593048536,0.41984719576077,0.438197205124721,0.845318884692092,-0.984593117214071,-0.21345758285362,-0.0230403879384085,0.309250822481515,0.480805920828809,-0.374613224169276,-0.628106210640688,-0.499122283372622,0.724800360199424,0.782963757604088,-0.856387910866061,-0.780483298627799,-1.3175399885708,-0.788024106090699,0.497727619599199,-0.110145225401675,0.504032160002391,0.602934133996087,0.211155946554417,0.848106127254844,0.93114468754261,0.574616349944547,0.275281366202129,-0.113247958431919,-0.393100922092209,-0.248434424355743,-0.0915505301203296,-0.350608263375708,-0.629542783616483,-0.732796997032565,0.357106217987163,-0.00989468471659236,1.15909995979678,0.675182095238248,0.738910791347366,0.367401977143991,-1.06594224324422,-0.804840144123884,0.330493352999339,-0.816219326186708,-0.229313469425819,-0.159016782914784,-0.0159989627204023,0.820278540130143,0.070020377498343,0.876470527379574,1.50782806653452,0.562816811685159,0.880936983211907,0.74973213162205,0.827927515427799,0.130286078667808,0.94608365206744,0.836467020394874,0.461963526367395,-0.646236431272801,-0.660974650051847,-1.33613795026365,-1.40573663276624,1.09193981473974,0.217087238321274,0.48297713826371,-0.663128034889986,-0.904038330970459,-0.698838051858302,-0.82537477171758,-1.15023625751604,-1.03472634133043,-1.04498576383513,-0.980803050703739,-0.651536730812554,0.167818196391891,-0.655461613295752,-0.56989660043176,0.363185467349782,-0.966203820808444,-0.6027480340839,-0.489229594591514,-0.314668941360597,0.812825194024107,0.507887414638844,-0.134358337878691,-0.0212874086049382,0.504063254715749,-1.10821322487753,-1.38798439818279,-0.682078228410055,-0.808535321803421,-0.863111190048084,-0.941284911956501,-0.836342634288483,-0.59148580883456,-0.977098033399895,-0.683260114257884,-0.523814067042696,-0.769879634309761,-0.686740057021613,-1.02153663579379,-0.509407993590444,-0.138001162612323,-1.39484904872,-0.966896596000863,-0.83335656686206,-1.12206842973075,-1.41807437415908,-1.49488029851904,-1.4983431628598
"20",0.447493618587019,0.599928547994829,0.583716450887289,0.592642969871123,0.472661313999159,-0.0947989661877323,0.434870706891852,0.593297688567293,0.576613112704825,0.655372946084258,0.982462526101063,-0.0358629103027724,-0.0315228531114467,-0.00894238294722051,0.829783569585794,0.698876724890177,0.441670777200594,0.693367183729281,0.618421956548134,0.153166586263498,0.36342962752028,-0.631502548881496,-0.486278235428268,-1.02500347905656,-0.59536163873433,0.468937565655894,0.71855667147265,0.645832045083711,-0.057195496245119,0.510494917957178,0.869082840040798,0.884237501137464,0.506212528711751,0.604750591617589,0.382065711637603,-0.258651878330171,0.603034349784735,0.8833334731884,0.278096240367236,0.548455147061273,0.224917179180156,0.503926502320986,-0.722059375150414,0.761186697950347,-0.146107241138083,0.847583617412695,0.472865329308127,0.0336176593196917,0.218678501479275,0.06861764496669,-0.270023957795296,-0.242968751534207,-0.4432471508941,-0.307633905128926,-0.574415302875605,-0.915646579595386,0.200645656456589,-0.148426510688942,-0.126625747220583,-0.386379942695105,0.0258610687163642,-0.651851827285181,-0.583580772493108,-0.62012861743261,0.943522447009184,0.558928231678056,-0.527934472757312,-0.56095093568938,-0.457809407907638,-1.10424725202522,-0.252435838519261,-0.360688194603843,-0.624688433860004,-0.551229006302515,-0.609646015662883,-0.695311394918188,-0.412509700225062,-1.01680387580881,-0.74459818387886,-0.10619716192423,-0.112762345793587,-0.52718329044267,-0.493524290306428,-0.439316700296,-0.550752958428662,0.41148917218789,-0.778435351743415,-0.5543069153479,0.415842905489004,-0.0997536303546133,1.03861602449362,0.804585399499141,0.53038697740881,0.42096375760396,0.724419885232802,-0.169777085057928,-0.112444841303213,0.58958497580109,-0.342127999982786,-0.324432799650993,-0.299210640739186,0.0945064561127188,0.201566257942258,0.00191463534451717,-0.0788124365304752,0.088940707223015,-0.434199146566059,-0.0909613910285852,-0.0534158038085087,-0.346059102477065,-0.393663269058438,-0.308335655884826,-0.684433267741479,-0.643448419644359,-0.505044181830756,-0.440908823631224,-0.280157357848475,-0.0592829134858314
"22",0.624011663031495,0.174237643932028,0.227792360250923,0.578830603980888,0.45291966653914,0.888519316595148,0.273740687001727,0.214031269566012,-0.208235371591783,0.587450139792195,-0.771984477882039,-0.987547282675972,-0.598168542672496,-0.266281163174144,-0.527986711957087,-0.0753105794740664,-0.359983208892402,-0.582228148012115,-0.278578598496599,-0.21731030792169,0.0011074463995216,0.603995635553106,0.83340754671349,0.537490391784801,0.868466354455002,0.412587894223999,-0.00337251470369693,0.572157751448095,-0.686870068364535,-0.633815432078261,0.0211874296918895,0.458886178849534,0.565757496054876,0.720407565656844,-0.043654770597255,0.401650662469038,0.140039987194321,-0.343217328027875,0.344468886752411,-0.0223306734419144,-0.191415837391318,-1.34367205057638,-0.34308158074002,-0.0881068346714399,-0.665728910538978,-0.604462571099126,-0.984225280652006,-0.926509723999007,-0.408600415184044,0.644765562477638,-0.376431937813582,-0.416061950549299,0.082592894881722,0.160355298677073,0.304388190473701,-0.686435777720991,0.673817393433241,0.664410019872299,0.398316657211283,0.358940498139706,0.459596935031652,0.320646478631898,0.0797434995724333,0.435850312818551,1.00291236611822,0.582538755934067,0.926714060480977,0.494891276688892,0.314125771979517,0.854221809887732,0.373000667854619,-0.0420208744488326,-0.140674182310231,-0.500591215380459,0.603051712974541,-0.650714396024956,-0.660777208360557,0.647561164470695,-0.0823891819966913,-0.475845422641061,-0.596553174968344,-0.580586166336944,-0.307253392430046,-0.189789681743542,0.0566492576696606,-0.892174003468675,-1.16820271379195,-0.770886494852647,-0.339184900361239,0.521582209882445,-0.563819487500913,-0.51457041394211,-0.746429316473277,-0.67336582736005,-0.589375370055445,-0.440930470119859,-1.0656425972758,-0.808348630543566,-1.63359589679497,-0.898971595418285,-0.971528075753067,-0.660065776853362,-0.291377603404626,-0.746427078351087,-1.1140575630248,-0.292721563711433,-0.11908748697998,-0.104896987315273,-0.140898716031457,0.14336545992955,0.161146360621936,-0.390880878952207,-0.243042066675897,-1.04372067637927,-0.849448271977742,-1.13413201400437,-0.456173855028536,-0.9880042658404
"24",0.67211000119161,0.528256259391443,1.03742320816579,0.234176653000648,-0.555976684854722,-0.0736080502085375,0.376152611100009,0.0946985301433145,1.50322290366893,-0.872481810696005,-0.462038218371992,-0.520995656837742,-0.876763716056928,0.644374876518793,-0.940014451280638,-1.22207623410656,-0.531253616060819,-0.971876454636411,-0.0670943247752475,-1.32372922763527,-1.10264054290603,-0.74136994935288,-0.604886734439287,-1.16851181729912,-0.678627504924298,-1.73986374193146,-1.20742511485901,-1.2138528413778,-0.872847501586109,-0.693577327312701,-1.52784617945521,-1.82509798892508,-0.956296228208199,-1.43962226044912,0.16797305512845,-0.890900998102979,-1.36141224027833,-0.587892245459688,-1.08954189067671,-1.08823505148138,-0.583951070718015,0.649693923419694,0.724417989251095,0.538807750736647,1.22443000878139,0.695310721652686,0.70451321291146,0.287936567452616,-0.199980741007906,0.952169790497888,0.817152727002459,0.266557984616261,0.592425693466029,0.439660053881866,-0.649543375444891,-0.656923834339395,-0.561080617831184,-0.0612702594622136,0.0046276528699327,0.593183448589817,-1.04310344075723,0.808966041887213,0.722746212984125,0.437019168267277,-0.614940649979684,0.353793554810009,-0.484370609628311,-1.10716684613576,-0.74084042678662,-1.16464042147648,0.248085631736879,1.29385275963289,1.3396869231066,1.07739417587043,0.406590631465612,0.728635614339366,0.541894079809848,0.526240349885915,0.252622564454991,-0.879159813675913,0.110487820818614,-0.45785321007345,-0.0452009595238405,-0.543822597266804,-0.208495482653518,-0.977769251228539,0.562480774368075,-1.07332411991277,-0.266166863412734,0.0733570407924155,-0.32718430486143,1.27609728133376,0.463455617817227,0.718166316396632,0.895226929398951,0.441191565543136,0.266828900735679,1.18160902788231,0.631824322787047,0.315449174899516,0.376876375765693,0.290104781003763,0.42487778131435,0.881067878438582,1.42729430129198,0.916018810228195,1.0941977059762,0.620403477582103,-0.0306257127142716,0.494640270603257,0.143076149948112,0.37930582148704,0.834198807416899,0.918278831709336,-0.102815321440313,0.176842356874098,-0.551380229904841,0.235497109744115
"32",-0.513609123809792,-0.97790649762174,-1.05176851503672,-1.04023042759888,-0.00697485971611563,0.299767301504961,0.613217491195109,0.00129597134694561,-0.836337635368614,-0.580548665146897,-0.581016777338555,-0.792280477603453,-0.856763589403943,0.0159005103139252,-0.540360536226103,-0.0796124777367506,-0.429902696822064,-0.668831027686102,-0.597144741252609,-0.207549902580426,-0.0101570398117105,-0.889502742375199,-0.411480369640833,0.605748579222986,0.956942975446383,0.324572151069784,-0.917814104601117,-0.998674769423399,-0.1099520965231,-0.21484744787108,-0.208465099902936,-0.128438213889189,0.0945034030181585,-0.0147463972025508,-0.392606817879141,-0.11569632606956,-0.359691951872472,-0.715951723208694,-0.470784855025683,-0.661212795269967,-0.405782799375007,0.252258360251729,0.864478362174756,0.413240633391996,0.476543291352308,0.591113396306733,0.471281236112562,-0.545510284947576,-0.688349854732189,0.110691413794709,-0.38695978921752,0.0234714214845268,0.411832462015053,0.00479343807164872,0.100016431928108,-0.0505528889388207,0.42236675534004,1.0015449897147,0.238720447796747,0.381353928370672,-0.0445745085224706,0.621997164057212,0.200217486803344,0.620681301445325,-0.0902240080951892,-0.156272268214958,0.0395508885458505,0.481995501380815,-0.0125655869375789,0.86188778744692,0.769519930557263,0.212496343496183,0.702035173428648,1.18757978032783,0.82387708594033,0.59603436676318,0.250615255745392,0.579960897097757,0.102223363349058,-0.241460581310747,-0.879007842115155,0.791245379353411,-0.142104086440305,-0.615384931792979,-0.195568378849913,-0.278963945950986,0.319409087790955,0.598958263554357,-1.71390767782308,-1.243957310458,-0.689677202843267,-0.674137488735344,-1.06606693736227,-0.340357428666437,-0.827485311635532,-0.320970433303631,-0.603474454726304,-0.880342394408205,0.0442553517956667,0.229591197253661,0.511793572992559,-0.386974763342651,-0.443845418043504,-0.558872164658542,-0.561752915504521,-0.265840536990594,-0.0713832548470428,-0.161034854135604,-0.382487389573305,0.0285547632468371,0.251002230300748,-0.628288290143613,0.0677934164032298,0.700347179974911,0.67571616185928,0.392258571850327,0.22499707910043,-0.295044386856572
