"","ModuleName","Median_ModCor","Mean_ModCor","Num_Cor","Assigned_Mod_mean","RelMean","RelMed","NumGenes","TO_Sum_Mean","TO_Sum_SE","Module","TO_Median_Mean","TO_Median_SE"
"1","antiquewhite2",0.000547207082927076,0.104032688319108,47,0.896767049704521,0.116008598167592,0.000610199809535126,74,539.023147583941,9.88367683020668,"MEantiquewhite2",0.00322729295212749,3.33604353995693e-05
"2","antiquewhite4",0.0109009079218814,0.0377036100717192,71,0.486078016373324,0.0775669929552247,0.0224262516606165,103,125.474803652518,1.79251812556025,"MEantiquewhite4",0.00194007264366133,2.49416639478573e-05
"3","bisque4",0.00629632459294816,0.0376257934148079,60,0.583488980422955,0.0644841542466388,0.0107908200569343,135,142.087126814904,1.95912830653042,"MEbisque4",0.00195198057889498,2.09234340164981e-05
"4","black",0.0210453172179793,0.0463551409344375,86,0.451084726360084,0.102763712060235,0.0466549097944398,416,157.88998792419,1.73446947034185,"MEblack",0.0022751302616219,1.75039947634923e-05
"5","blue",0.00591150965531968,0.0563158136187987,62,0.572701685515535,0.0983335915418238,0.0103221446781639,524,217.496125093138,2.67720850667331,"MEblue",0.00259951895628356,3.04365669757423e-05
"6","blue2",0.00643912250855464,0.0733317310496026,58,0.727007419648906,0.100867926609355,0.00885702447392392,73,278.776817614958,6.31282773649805,"MEblue2",0.00229123957751364,3.99371692369164e-05
"7","brown",0.00946104488281197,0.0499848725915243,71,0.630691170952972,0.0792541181700663,0.015001073930552,475,246.006798943078,4.12068254826126,"MEbrown",0.00220775750645698,1.94808471959521e-05
"8","brown2",0.0056289702571374,0.0463286282333845,64,0.683737832215182,0.0677578832858911,0.00823264413920259,77,154.053393202689,3.75692372830649,"MEbrown2",0.00199805619940179,2.7565911931417e-05
"9","brown4",0.00419796427846166,0.0392914249194961,61,0.669407407442969,0.0586958322878188,0.00627116496140552,140,171.27286261725,3.00504146590818,"MEbrown4",0.00201449372176512,2.0537226195846e-05
"10","coral",0.0051227822762218,0.0938527496652351,54,0.833212295746179,0.112639659957473,0.00614823173202709,163,506.483745792993,7.88659207858513,"MEcoral",0.0028017414199043,3.43454373910925e-05
"11","coral1",0.00388290451033811,0.0537061088287118,60,0.664842049224239,0.0807802528305451,0.00584034134854861,107,179.014011303534,4.09801500032414,"MEcoral1",0.00209751471959274,3.5792438737678e-05
"12","coral2",0.00469586495034566,0.0493021496061997,62,0.690662702678132,0.0713838309424042,0.00679907128637011,101,161.299996975542,2.75685098498232,"MEcoral2",0.0019131233440452,2.11372990723813e-05
"13","coral3",0.00313583264746534,0.0386612983666414,52,0.685065848173311,0.0564344266609254,0.0045774178581911,35,148.065920695657,4.34692660667343,"MEcoral3",0.00200538952055997,2.95429003950572e-05
"14","cyan",0.0186221976500046,0.0569855378218449,71,0.534428107448362,0.106629005899266,0.0348450940181958,321,186.765245075489,3.32429877165364,"MEcyan",0.00185255600188002,2.208433733454e-05
"15","darkgreen",0.0109546452642183,0.0559227463793319,68,0.645596872006974,0.0866217740576781,0.0169682440222541,259,199.586262336312,2.93697262088177,"MEdarkgreen",0.00224154591879237,2.0437644914712e-05
"16","darkgrey",0.0196615232766929,0.044749857903908,82,0.564716249115052,0.0792430853088326,0.0348166416452578,238,156.741807665945,2.33077700193258,"MEdarkgrey",0.0021206546840237,1.78451173346417e-05
"17","darkmagenta",0.00691735346950563,0.0509457933763261,64,0.658061672694738,0.0774179617051772,0.0105117100061143,179,163.460343425096,2.7525929520826,"MEdarkmagenta",0.00207553054468117,1.93339299122198e-05
"18","darkolivegreen",0.00795344300243109,0.03941981644877,74,0.554948573853613,0.0710332782279901,0.0143318559181109,179,136.324485796389,1.98392584310676,"MEdarkolivegreen",0.00182808923173231,1.83845409105038e-05
"19","darkolivegreen4",0.0126923910782612,0.0256778774757859,74,0.576740731178356,0.0445223929707941,0.0220071002308594,78,123.338496044419,1.33941789716034,"MEdarkolivegreen4",0.00217389329495859,2.78307820510668e-05
"20","darkorange",0.00630664595938914,0.0556145544119194,62,0.584434007997756,0.0951596821041478,0.0107910317898772,209,177.629900504947,2.84297864285798,"MEdarkorange",0.00211939255329189,2.79752091085473e-05
"21","darkorange2",0.0105332414415506,0.0651791895024926,62,0.656055425087617,0.0993501265442441,0.0160554139768662,141,248.052888279519,4.12153088181753,"MEdarkorange2",0.00345030785097365,5.02804216361409e-05
"22","darkred",0.00882702498657032,0.0473320947127379,68,0.612703758714278,0.077251190382872,0.0144066767357414,263,164.565208909142,2.32604804381384,"MEdarkred",0.00243786550163436,3.09172748962061e-05
"23","darkseagreen3",0.00458673664866781,0.0147104131279763,59,0.554095104714774,0.0265485347241041,0.00827788697218122,39,101.363398750663,1.94895937315894,"MEdarkseagreen3",0.00190954954079485,4.30369546291898e-05
"24","darkseagreen4",0.0119453599237219,0.041851710888898,66,0.600974989407557,0.0696396882175672,0.0198766340268131,109,152.754734304237,3.02673640120077,"MEdarkseagreen4",0.00223931989519395,3.19056634923822e-05
"25","darkslateblue",0.00930273165523725,0.0497281247699472,62,0.545022713161329,0.091240463138694,0.0170685210553484,135,164.977147303392,2.91599990744628,"MEdarkslateblue",0.00241971332548161,4.03533153453483e-05
"26","darkturquoise",0.0050992962850564,0.053120872550493,65,0.67704055606217,0.0784603995652146,0.00753174420556891,253,187.460052688218,2.93136038696316,"MEdarkturquoise",0.00196351657796167,1.51012139128462e-05
"27","darkviolet",0.00881485430355581,0.0492378570061834,60,0.74671544126956,0.0659392511322245,0.0118048373133531,72,181.437642982397,5.40369153177158,"MEdarkviolet",0.00201422070694219,3.49762257787751e-05
"28","firebrick4",0.0110560348869543,0.0506174383933162,59,0.546413102884057,0.0926358429659705,0.0202338392483612,80,164.8225053436,4.63728235058532,"MEfirebrick4",0.00189168967424344,4.24053024986944e-05
"29","floralwhite",0.00308927723786629,0.0566957014738443,55,0.600450557992949,0.0944219315298065,0.00514493191278302,144,209.421014576903,4.72418467463557,"MEfloralwhite",0.00272737404832587,5.69116433226854e-05
"30","green",0.0134911430866301,0.0268142462559473,86,0.459932248228816,0.0583004265502323,0.0293328922652935,475,127.88914077572,0.782498398972914,"MEgreen",0.00212316559012456,1.29400137868231e-05
"31","greenyellow",0.022125281969629,0.0290443518658916,86,0.613646765696424,0.0473307340468573,0.0360554038682484,375,132.117848771573,1.8382985073447,"MEgreenyellow",0.00206142124611005,1.8643783524719e-05
"32","grey60",0.013177246848868,0.0460778313145021,71,0.501441577224075,0.0918907274693571,0.0262787280660208,308,160.127433777713,1.60956772932067,"MEgrey60",0.00241489262563013,1.94565660968539e-05
"33","honeydew",0.00522026203817736,0.0484371615419874,53,0.700115541895324,0.0691845254725531,0.00745628646386749,53,163.462081453735,4.6676737322695,"MEhoneydew",0.0020268978322184,4.73722800731526e-05
"34","honeydew1",0.0133959893474821,0.0200120232149269,71,0.464903507713057,0.0430455414573437,0.0288145585594296,110,119.319216691287,1.31648118734165,"MEhoneydew1",0.00213201477097017,2.25662338743772e-05
"35","indianred4",0.00958120094763825,0.0677028551527008,56,0.643115935234182,0.105273173068006,0.0148980928985213,81,215.722045537567,5.94792961919163,"MEindianred4",0.00193353588964738,3.94936914074914e-05
"36","ivory",0.0118739762808808,0.0366546256427891,69,0.51336206353519,0.0714011187160435,0.0231298280965922,146,135.387698375615,2.1260437608274,"MEivory",0.00193208366321678,2.13326602395259e-05
