"Module","Nut_F","Salt_F","Group_F","NutxSalt_F","GroupxAccession_F","Nut_p","Salt_p","Group_p","NutxSalt_p","GroupxAccession_p","emmean.Control","SE.Control","emmean.LowNut","SE.LowNut","emmean.Salt","SE.Salt","emmean.Combo","SE.Combo","Difference.DE_Nut","Difference_p.DE_Nut","Difference.DE_Salt","Difference_p.DE_Salt","Difference.DE_Combo","Difference_p.DE_Combo","Difference.Nut-Salt","Difference_p.Nut-Salt","Difference.Nut-Combo","Difference_p.Nut-Combo","Difference.Salt-Combo","Difference_p.Salt-Combo"
"MEantiquewhite2",208.877984518385,11.3742611519744,0.440522519160511,84.2303302035836,3.05488416517625,7.58961639651133e-25,0.00111318590663693,0.508625415284485,1.94272294455632e-14,0.020911391463244,0.141927271428991,0.0134685352453665,-0.167507858580576,0.0126196591597188,0.0614183161459229,0.0142447028479596,-0.00135715901120116,0.0137983516225565,0.309435130009567,3.09004155596426e-10,0.0805089552830681,0.000416584205557124,0.143284430440192,1.11482223452697e-09,-0.228926174726499,3.09010150800759e-10,-0.166150699569375,3.0962921115929e-10,0.062775475157124,0.012970879375839
"MEantiquewhite4",0.421196225148324,0.000211812310469585,2.88187592924096,0.62587239266762,1044.97481602115,0.518050345175414,0.988421502462498,0.0931561280492586,0.431024880420495,1.25549518343144e-72,-0.00804887964980643,0.00419723454844,-0.00832810388801606,0.00393269709361537,-0.0112946512955805,0.00443911367023271,-0.00497500242212538,0.00430001608093511,0.000279224238209631,0.999957662559473,0.00324577164577405,0.94923212530041,-0.00307387722768106,0.958444038546312,0.00296654740756442,0.958502944255636,-0.00335310146589069,0.940130430513775,-0.0063196488734551,0.745714844150894
"MEbisque4",1.22852421654175,0.976233345775965,0.175032573080194,0.294963713533043,1437.93455502215,0.270748984307935,0.325870484758069,0.676708328166785,0.588445885783323,1.50037052682875e-78,0.00613964309478629,0.00366735156106633,0.0120985128641479,0.00343621083335261,0.0119273600205666,0.00387869447380052,0.0138716295083004,0.00375715736278995,-0.00595886976936166,0.631944244906315,-0.00578771692578028,0.690441366224239,-0.00773198641351411,0.475385599438752,0.00017115284358138,0.999986849529263,-0.00177311664415245,0.985640802991552,-0.00194426948773383,0.98461303887166
"MEblack",0.342819455673646,20.6724177021234,0.308345347954348,8.34097187466517,9.24065231301936,0.559722014666624,1.75087354573313e-05,0.580122355534187,0.004889969474461,2.85862856851769e-06,0.0669451286656643,0.0202846553935447,0.0246505407292001,0.0190061823780689,-0.0862237160699065,0.0214536238121149,-0.0127681966219486,0.0207813843572045,0.0422945879364642,0.4225313775793,0.153168844735571,5.9514220211998e-06,0.0797133252876129,0.0415609605272139,0.110874256799107,0.00114922919565785,0.0374187373511487,0.552124179458467,-0.0734555194479579,0.0804084365367096
"MEblue",154.115543623975,0.69631369091365,0.0174909968644316,41.672119703475,86.5250020932398,5.85732685577166e-21,0.406310591861658,0.895089153548812,5.9238502898173e-09,1.70184854564966e-29,-0.0996047816254101,0.0106966606936115,0.0971757664135428,0.0100224864576107,-0.0397885849332463,0.0113130901222807,0.0179666941943873,0.0109585996360226,-0.196780548038953,3.09004377641031e-10,-0.0598161966921637,0.00107494322597512,-0.117571475819797,5.72710989743541e-10,0.136964351346789,3.09220204997018e-10,0.0792090722191555,5.05150743745908e-06,-0.0577552791276336,0.00281459461251432
"MEblue2",38.822978661577,6.7600757210023,0.652252829085055,24.4032181243658,5.02195012822741,1.60495911833665e-08,0.0109511679422009,0.421511038393228,3.74747332591054e-06,0.00108964602166755,0.138085713913081,0.0199711411269653,-0.0772015299112665,0.0187124278521414,-0.0129773388433415,0.0211220422789594,-0.0306629050039324,0.0204601927791939,0.215287243824348,3.51169204826363e-10,0.151063052756423,5.73220018718068e-06,0.168748618917013,6.53531161409759e-07,-0.0642241910679249,0.110207234246469,-0.0465386249073341,0.346308630268538,0.0176855661605908,0.934156849655889
"MEbrown",9.56262269920042,0.270139740541726,2.62384588762975,0.0500426255948958,1563.65574089921,0.00266875368011615,0.604557982538914,0.108888427225683,0.823513581695793,4.12919860577645e-80,-0.00759125527556751,0.00340667207530378,0.0038732606201796,0.00319196109124453,-0.00832267823420817,0.00360299249540432,0.00165145306679999,0.00349009437933922,-0.0114645158957471,0.07119776561205,0.000731422958640657,0.998796188178445,-0.0092427083423675,0.253400497255438,0.0121959388543878,0.0607435109496378,0.00222180755337961,0.966052346906747,-0.00997413130100816,0.211889363105303
"MEbrown2",21.9087199990504,0.568466095396615,4.51494780072601,0.419193095996281,1279.77707321822,1.04327767622771e-05,0.452904914531627,0.0364360695023933,0.519044778092369,2.19770983367909e-76,-0.00706052364293336,0.00381558483366751,0.0132419091140659,0.00357510146565058,-0.00760793347442964,0.00403547016484018,0.00764502436798184,0.00390902055951114,-0.0203024327569993,0.00102504301465678,0.00054740983149628,0.999639102639187,-0.0147055480109152,0.0474073437036269,0.0208498425884956,0.00115351876036818,0.00559688474608409,0.720265374985244,-0.0152529578424115,0.0435968593870485
"MEbrown4",6.32579646443034,0.157220269494095,4.12351174690647,1.05285407191694,1538.79913884137,0.0137371941138943,0.692699646164153,0.0453446264626199,0.307695182331519,8.20939743963751e-80,0.00159688554395368,0.00344601499987059,0.013712402882341,0.00322882436474345,0.00368610777310486,0.00364460268236334,0.00879584528411669,0.00353040073018902,-0.0121155173383873,0.0544999424212419,-0.00208922222915118,0.974474249544894,-0.00719895974016301,0.483460483170706,0.0100262951092362,0.172977110375473,0.00491655759822434,0.737174213355465,-0.00510973751101182,0.754496808635428
"MEcoral",140.88499185756,19.7892757824958,0.0579330445965604,23.9637448664316,2.94970648309454,6.93182250361444e-20,2.54557478419745e-05,0.810359480390052,4.47950816746993e-06,0.024514239349988,0.108237594503915,0.0158451207166829,-0.15368192564826,0.0148464565111435,0.0983851627132963,0.0167582466903255,-0.00954425647644579,0.0162331347223419,0.261919520152175,3.09009484666944e-10,0.00985243179061872,0.972559889626404,0.117781850980361,1.19240728599923e-05,-0.252067088361557,3.09020142807981e-10,-0.144137669171815,2.74593721094618e-08,0.107929419189742,9.83925316199175e-05
