"Plant","Bench","Row","Column","Osmocote","Salt","Treatment","Accession","Group","Cross","Chlorophyll","Tot_AG","Tot_BG","Tot_Biomass","Reproductive","SampleDay","MEbisque4","MEcoral3","MEmaroon","MEdarkgreen","MEdarkmagenta","MEdarkseagreen3","MElightcyan","MEyellowgreen","MEivory","MEsaddlebrown","MEskyblue2","MEantiquewhite2","MEskyblue4","MEorangered4","MEwhite","MEdarkviolet","MEsalmon","MEthistle1","MEblue2","MElightcyan1","MEdarkgrey","MEindianred4","MEmagenta4","MEorangered3","MElightcoral","MEsienna3","MEcoral","MEturquoise","MEcyan","MEfirebrick4","MEtan","MEplum2","MEyellow4","MEplum1","MEskyblue1","MEdarkolivegreen4","MEplum","MEbrown2","MElavenderblush3","MElightsteelblue","MElightgreen","MEmidnightblue","MEorange","MEnavajowhite1","MEthistle2","MEpink","MEbrown4","MEsalmon2","MEgreenyellow","MEhoneydew1","MEhoneydew","MEantiquewhite4","MElightpink3","MEroyalblue","MEcoral2","MEviolet","MEmediumorchid","MEdarkturquoise","MElightyellow","MEdarkred","MEmediumpurple3","MEpaleturquoise","MEyellow","MEgreen","MEnavajowhite2","MEblue","MEskyblue3","MElightsteelblue1","MEpurple","MEdarkorange2","MEthistle3","MEsteelblue","MElightpink4","MEpalevioletred3","MEmagenta","MEdarkorange","MEmediumpurple2","MEfloralwhite","MEskyblue","MEcoral1","MEdarkolivegreen","MEplum3","MEbrown","MEred","MEdarkseagreen4","MEgrey60","MEblack","MEdarkslateblue","MEgrey"
1,"1",1,"A","High","NoSalt","Control","RHA.373","RHA",2,20.7,3.5974,1.6587,5.2561,"no","1",0.20146649465976,0.125149389007548,0.187541480286977,0.0960793672010309,0.0848276817630921,0.141260593560511,0.191985035881831,0.0979987384043878,-0.117921604231626,-0.102950869327498,-0.0208523841134984,0.164467881377431,0.212844902460258,0.251963554909016,0.167834979688903,-0.0900655803841134,0.168638081034499,0.0930217965456288,0.113621534632976,0.150363963585987,0.0524084441812696,-0.102074990228049,0.0750446627237429,2.77663001608034e-05,-0.125724717889944,-0.0128950869992868,0.12390943505989,0.113773516371303,-0.0362804382326765,0.144513300827596,-0.0806924651960228,0.0640859435626077,0.0838364067211287,-0.0254411528713274,-0.0543761455436363,-0.0274455952241663,-0.11578761258251,-0.217635071601054,-0.112599899262825,-0.209618756248003,-0.205966196183969,-0.104645382172015,-0.0265224397719276,0.0873559330627592,0.057969766601452,-0.116231741093623,0.0913391118021759,0.0944505066585884,0.222172055320704,-0.0239324396095416,-0.199339545441078,-0.11705991894738,-0.111548079747827,-0.119084396908264,-0.21603395527762,-0.227257965493958,0.0869574431454496,-0.102288926471436,-0.10754320643405,-0.0970152540168393,-0.0272136866056605,0.0956200721373401,-0.104286974706108,-0.144333730192176,-0.195152612114136,-0.17565972629004,-0.247524798525803,-0.0550051706633441,-0.0336855285708119,-0.0516167362542411,0.0716932163822649,0.0186161598020929,-0.102185712820808,-0.095276902689374,-0.0975281481928227,-0.159572932229598,-0.12107598107609,0.0132558486206291,0.104738847300591,0.178575091195271,0.189672221845028,0.114509272654686,0.197917711843657,0.0961731109736238,0.146191286883364,0.0610369629419579,0.154614190271839,0.0856140172516818,3.09537415921867e-05
2,"1",2,"A","High","NoSalt","Control","HA.89","HA",3,18.2,NA,1.6233,NA,"no","1",-0.0919187457354504,-0.186121144644379,-0.190873443451904,-0.188856993807121,-0.112423538957213,-0.0399065949210602,0.0987470500756578,0.0613989920114453,-0.2144320079479,-0.103531465223151,0.0757091159115035,0.176225137125148,0.156703943134588,0.15381413072633,0.158116286034066,0.0664498072213442,0.178197999833491,0.206158497289906,0.190077064219011,0.173276612325525,0.091981628828984,0.153160038667616,0.217683066112652,0.197875422092749,0.128345951191718,0.0880736876686194,0.152652151985366,0.149055368197575,0.198494380602501,0.174930386507493,-0.0335894148873298,0.101547647022293,0.151740343161449,0.0075061782458245,-0.0664207345326649,-0.148274805646113,-0.111909038997022,-0.199712661568564,-0.175719147869138,-0.104057080035968,-0.126471452392436,-0.11945200796782,-0.105649923165634,-0.0792923996890726,-0.0520998407498324,0.0935330689107192,0.0898751259893135,0.172497397715801,0.121744639622516,0.156775540330778,0.0787547273052494,0.190006635493909,0.107810231442702,0.0870202881733009,0.163843530989763,0.073103235416703,0.0823886716372666,0.170593359322725,0.0794496793362499,-0.20518580129623,-0.142705350811702,-0.119485341422968,-0.106573614338017,-0.156177980656082,-0.205232738696296,-0.174671575960929,-0.169109373329346,0.0154379160776709,-0.163507942831459,-0.158134618107875,-0.0902873233068306,-0.188624113897141,-0.0926365822569405,-0.151842966498622,-0.159693250533845,-0.172196147136518,-0.172818437134234,-0.153853832830234,-0.180970736349784,0.0771960573216398,0.176328089913877,0.0837118428846784,-0.112830026388906,-0.117929047677181,0.0642830148456838,-0.0697914418860674,0.030840807595835,-0.0844983808631685,-0.183073764988441
6,"1",6,"A","High","NoSalt","Control","HA.89","HA",3,19.6,6.4974,2.1173,8.6147,"no","1",-0.085603843632548,-0.169599080811211,-0.196768309533333,-0.187757009778887,-0.103485260585179,-0.0330224919426811,0.0981885522725948,0.0828070219483984,-0.203127928530277,-0.0867975978501332,0.0881791585980861,0.131699829079001,0.134796720203181,0.215922426898352,0.173048739173137,0.232338628504309,0.257364675813104,0.322823215704978,0.182139794694441,0.206761423744797,0.0135813207651381,0.0956914834589848,0.177345408420764,0.16423040476285,0.144323779715184,0.0752589444825449,0.111437092310214,0.139686217551552,0.215391875232755,0.190580699067296,-0.0492193845043984,0.087436103377966,0.168311100147331,-0.0362080887464131,-0.0228618487064234,-0.149406360493467,-0.102890612608325,-0.193503774340302,-0.189659962363528,-0.107733870222402,-0.105886669070864,-0.121919338998604,-0.110765179691103,-0.0991264696104334,-0.0682323455831106,0.0989408699476196,0.0939054413615749,0.186803864972552,-0.056748113233171,0.126500901528035,0.0964460024266641,0.176524244254781,0.0851898959086462,0.0794164813300243,0.154899646220486,0.0618665916328575,0.0865892007543576,0.168350697829148,0.0810387256298308,-0.188306934831761,-0.135516056241721,-0.106736269302845,-0.0881765834443317,-0.192611973529059,-0.218807295923827,-0.164305758602362,-0.162324558451348,0.0112248589794142,-0.149360057084663,-0.191869663973488,-0.103604146417091,-0.196144027767506,-0.0910638784997385,-0.149594763596647,-0.192284823493057,-0.132529389789043,-0.146272189463056,-0.154148193828856,-0.174510143293873,0.071033009294863,0.18558620326894,0.0874383154462617,-0.107554575141776,-0.112875770413528,0.0876331048723163,0.0294363225902929,0.133072639210484,-0.0133778377113331,-0.183837974006562
8,"1",8,"A","High","NoSalt","Control","RHA.274","RHA",3,17.7,3.8067,1.5748,5.3815,"no","2",-0.11148552464334,-0.131331568387204,-0.0791161897915046,0.0996239063129952,0.0627445805161753,0.049772080596495,-0.0867681191338212,0.0490180956225137,-0.111585121660822,-0.121102233114494,0.113931313138774,0.227337485083579,0.115463241431103,0.0391374911818034,0.163084381159935,-0.0180694753218245,0.165267962454906,0.126509700053851,0.197379328059744,0.167424814983528,0.10866327558195,0.174857251454642,0.18124489368038,0.233503147550132,0.0528898085282556,0.150672757134723,0.20685669752845,0.247394202891857,-0.00359381493470246,-0.118662831893689,-0.024646284835793,0.0571789170077859,0.136991961498771,-0.0621121277868492,-0.0513901510178566,-0.0251975735911746,0.161337955918585,0.0772805502769571,0.162800789304411,0.0919824504174001,0.0749182228906097,0.147662311354338,-0.0193047026834926,0.245693924514887,0.156819457281626,-0.0995998546307194,-0.191560051352978,-0.192696222805674,-0.11549192149681,-0.0419381134516348,0.0741492848453834,0.186160617949553,0.212018905770614,0.152664382565359,0.0422098024923535,0.0577376792127878,-0.181437556028754,-0.105464374166646,-0.114079131554146,-0.166025838947905,-0.0565067663220347,-0.193862564890315,-0.105331557136083,-0.116297138166553,-0.261403076318715,-0.190390670921828,-0.0379339630297789,-0.123774486242531,-0.0877637680112816,-0.144539378813962,0.00932089981312123,-0.038277676265577,-0.0561637715906486,-0.150355620750763,-0.225101332961962,0.0052238282276228,-0.16488018014285,-0.223117630983142,-0.173477849165467,-0.105365511646606,-0.06465851951433,0.0506450735665801,-0.0718231499640525,0.0800304001988908,-0.0714356154761516,-0.00986037431771891,0.0555372281887705,-0.0914670573593162,2.02862180730684e-05
10,"1",10,"A","High","Salt","HighSalt","RHA.274","RHA",3,19.6,0.4928,0.1783,0.6711,"yes","2",-0.130385870825653,-0.179098669997345,-0.0774097409689177,0.0801199002628936,0.0771765170489482,0.064075451572507,-0.0923176593200416,0.0818242979520841,-0.134515399076123,-0.121621972140632,0.0250671805377125,0.170056610485072,0.208692915293912,-0.00852905872233562,0.121165448919066,-0.065002076632906,-0.0208186395481818,0.0412242785269204,0.0382697850168916,-0.120295725691445,0.261610847670899,0.139050775005632,0.0178615053019994,0.236097746433987,-0.0143034237805612,0.0810155540845077,0.151253179943759,0.0118175953275132,-0.0616565317787355,-0.167091835170208,0.0451857096613133,0.140104597573652,0.120423768161224,0.182265652039562,0.106618070416487,-0.0254044180899365,0.169259296943253,0.0803779605566736,0.185416044819626,0.113951457974297,0.0915027047434024,0.171706156458498,-0.0240928448628484,0.0698851356853772,0.0641609442301019,-0.103440537275307,-0.19725252910524,-0.182379542333565,-0.0477481201033043,-0.00178583620797634,0.114837446757609,0.202328546323193,0.192182776161996,0.18705833840449,0.0857214880774454,0.107186358580562,-0.184943776483813,-0.104109345393748,-0.102395080621392,0.0445173155651604,0.11892933229925,-0.21062747374528,-0.102939932502222,-0.0832359259241069,-0.171442256699874,-0.134187211443844,0.0211136855943385,-0.097244364899582,-0.125182139375965,0.113972887711148,0.184724886061698,0.0127634841422068,-0.154980941065993,-0.156018717483011,-0.0976780697900225,0.0266959686081951,-0.0535408021446131,-0.219041701379353,-0.123424307375854,-0.0694209087839988,-0.05079612072531,0.0781242707557538,-0.0733795619307683,0.0994833978760354,-0.170953055848341,-0.188522187217101,-0.138023957254443,-0.169495217858491,1.49221985405801e-05
19,"1",1,"B","High","NoSalt","Control","RHA.377","RHA",1,17.8,5.786,1.0036,6.7896,"yes","2",-0.083162955486287,0.0612626843543671,-0.124862130564346,-0.19778591477273,-0.211913173965064,-0.198467571449842,-0.113899219595734,-0.224099458418503,0.145026534425825,0.187650067950441,0.0887068772252741,0.155262397666968,0.00386272760682206,0.0204955859896945,-0.0508157794384521,0.0976820830133437,0.211142962258188,0.268038081836317,0.145184481191318,0.13586628066489,-0.121649234792415,0.136264216306033,0.116293635583567,0.00230604683036906,0.308140018041802,0.172780154962867,0.210043422269643,0.273561488476221,0.267031751682205,0.164859023090453,0.0285754040706679,0.102854923684598,0.155274238068466,-0.0385862167302868,-0.0106347486054976,-0.0245976872343932,-0.112683247994017,0.07516010619248,-0.10057432534261,0.0592341683532007,0.0634888682152488,-0.122790811721311,-0.0273820670850356,0.252718222577774,0.216451896949096,0.175777274607916,0.0555348860494478,0.0665745961867842,-0.0692445149314529,-0.0364454799505265,0.0607014876828485,-0.120370275593871,-0.0898028178486525,-0.0921548239025723,0.0598439671867187,0.0673190747502828,0.0714783744801609,0.170339549580675,0.156307115307431,-0.141170321562299,-0.0442279332828428,0.0369142889164561,0.156564433445389,0.1150207992858,-0.0550212706982206,0.0341744771979665,-0.0180574045749393,-0.209810085739101,-0.184792750092234,-0.301597794501127,-0.2198297167368,-0.279368638881708,-0.0856042944335119,-0.184739200367579,-0.201299272350558,-0.147874846801458,-0.134930407657214,-0.0435690737215459,-0.202424099371001,-0.143025895735757,-0.15603546049854,-0.227310925500448,-0.13038704591334,-0.209215026903402,0.0249401139640473,-0.0525595764265227,0.105746424638502,-0.0746604414145324,-5.14875553359061e-05
20,"1",2,"B","Low","NoSalt","LowNut","RHA.377","RHA",1,15.4,1.5803,0.3465,1.9268,"yes","2",-0.0636590396420238,0.0764856876688344,-0.108782950907529,-0.200099215417003,-0.196122700697297,-0.194514670901983,-0.0938740525916251,-0.188937867267498,0.192522300355062,0.187060853822353,-0.0290020802620354,-0.0884871060728452,-0.0459898325814656,-0.0986346670635774,-0.149784914650482,-0.0325894307721398,0.0154360041496894,-0.0346244077632744,-0.0112811009059254,0.104891497116842,-0.0877914948848427,-0.0057113808448749,0.0168736705662009,-0.118052054019429,0.123822297822808,-0.102322601185802,-0.144125805131654,-0.0718501778967871,0.155677043953492,0.0916008075451674,-0.166074644485403,-0.0966986385470141,-0.0522006427614774,-0.117418980457978,-0.0490761594914302,-0.0319762948457889,-0.109876370522899,0.0990680502451259,-0.0921057948745804,0.0800451773969055,0.0859360940260117,-0.104327672903088,-0.0218436701720117,-0.128018253186554,-0.115604006265803,0.189955058958747,0.101717651190026,0.0987055246320875,-0.0172455358706219,-0.0377422206261177,0.0932865310913076,-0.0763707328548089,-0.0930610264613879,-0.0777661671254093,0.0947118504749947,0.0865553141435938,0.104819200758767,0.185218997985927,0.197515362164386,-0.0111488157892146,-0.0841747627859544,0.0773978771129824,0.183169614322608,0.0167894739914078,0.0846745266744158,0.192217360340082,0.125529371489316,0.0934836548155338,0.0729967802293236,-0.00505023954932382,-0.0584300466107825,-0.124082922337811,0.133258879943703,0.11494332963268,0.0273672352961665,-0.0701578961011431,-0.0448862633946941,0.125917680933845,-0.0547644262308761,-0.106133877342195,-0.115339813739868,-0.186335558205473,-0.103446216940321,-0.197379772702067,0.113867174318691,0.0427331484867492,0.0909957445286037,0.0859110580429814,-4.67654730330095e-05
22,"1",4,"B","Low","Salt","Combo","RHA.373","RHA",2,23.2,0.6889,0.2355,0.9244,"no","1",0.184816936293097,0.092528530088657,0.183491840592253,0.0941670274869432,0.0938980506735637,0.10480640625148,0.181736738160784,0.0975664142114552,-0.106027509565548,-0.0999991113278889,0.15731911040145,0.082341781642831,0.118089377877546,0.25290409625678,0.146016309198864,-0.0651595599059499,0.184564148572295,0.106386615772661,0.0217829715165319,0.0535962908831174,-0.157826395170728,-0.170082538881456,-0.0428142224031744,-0.0613703513805178,-0.083909077345499,0.0524517836514149,0.10095218616818,0.0939267709270108,-0.050479566777333,0.174879430615448,-0.138767191662874,0.0717028919338981,0.0785149539811571,0.00527304711630968,0.0337922532074483,-0.041455561523484,-0.122418231125714,-0.213919128119352,-0.123530035278415,-0.217436854707933,-0.206132929820598,-0.110879604143912,-0.0254768034510928,0.0954310268176261,0.0858454128189298,-0.112284899017627,0.0847903944898253,0.0841164575861199,-0.125645317185729,-0.0447232001920685,-0.21571175926883,-0.127628746500634,-0.11523326465508,-0.136586282636087,-0.210744637397513,-0.21648035049422,0.10156840823281,-0.1059134121158,-0.105164774569504,0.015506775852635,0.0467532226165657,0.092001891700707,-0.10247089585484,0.124255342069789,-0.00413708944191406,-0.14367235929939,-0.245324131860543,-0.0704250454045311,-0.107161409733173,-0.202863911550495,-0.18131437869917,0.0205084718015095,-0.104389616313265,-0.119754023155719,-0.176754414586271,-0.155794677529028,-0.133018867050358,0.024288743267536,0.117927019152909,0.182095814016123,0.181714609813701,0.083826822750035,0.191067766743407,0.0892685141154658,0.0567796075400236,0.047241164783199,0.135345024301928,0.061732033677088,2.73170737636624e-05
24,"1",6,"B","High","Salt","HighSalt","HA.89","HA",3,24.9,2.2275,0.3978,2.6253,"yes","1",-0.118829725797445,-0.214451873093693,-0.193616432217515,-0.213148092151364,-0.108650048229377,-0.0334838369138611,0.0744487521811786,0.0834051087560878,-0.213741171739028,-0.109488515835773,0.111638086120481,0.030045993506173,0.0460407372988129,-0.0672553705510159,-0.0846557705339691,-0.184815673394528,-0.111798239760993,-0.0887434823263526,-0.134334111023061,-0.255277728002184,0.0322003285054949,0.077313684661436,-0.116791295881738,0.0103613368119814,0.160309172348825,0.221326473921726,0.131567445002707,0.0743473008332737,0.0366137315188096,-0.0212341951141627,-0.128134474390987,0.0103304689296483,-0.11852510687409,0.200012162121877,0.00226704457270299,-0.147151399493377,-0.103366076216031,-0.19500504411026,-0.210535595404807,-0.108939731767688,-0.12883360369811,-0.124379243616178,-0.102773264003717,-0.116377073989891,-0.023649629611961,0.094787305322927,0.0797542310302378,0.153425333187666,-0.162769919671419,0.14027613447309,0.105992312227647,0.18976489331583,0.106289152661206,0.0644007811732778,0.179454162287022,0.119424169514104,0.0914501776031364,0.180114423687678,0.0929140722444408,0.100898243475757,0.0164686478145139,-0.122805828138146,-0.0976111292843904,0.284855162402861,0.135876141970147,0.0652568918603323,0.0381958581338893,0.058246994604996,-0.157659489210895,0.0435497156000633,-0.144901819937489,-0.0409239544939195,-0.163477736687232,-0.0356192901953389,-0.00517028860399248,0.0137706290826104,0.0325030442095589,0.058733926458641,-0.036104334888056,0.0619359716292915,0.157757725767766,0.0783098338262589,-0.12491524605289,-0.120354703189666,0.0450978291874606,-0.240331649293544,-0.245721790598773,-0.125178346865675,0.0206315004554697
32,"1",14,"B","Low","Salt","Combo","HA.445","HA",2,18.1,0.8836,0.2041,1.0877,"no","1",0.266826708055418,0.138927783831487,0.141637532863561,0.125400378480694,0.245414688352456,-0.0278349074050871,0.128922248487983,0.133139876455718,0.119293426231533,0.240237427869084,0.0630174570638121,0.0927557481167783,0.0896930318718209,0.182805747980842,0.154708432283771,0.0401222138072754,0.133822763009459,0.138210247769918,0.111439577100148,0.065170279540591,0.0420434980392708,0.0628616975134766,0.0498712873331003,0.111761843571177,0.179284624017459,0.148444712194106,0.113508443994071,0.172657237026711,0.111168968045631,0.179257041980666,0.00688449711708244,0.0812418015730218,0.102921255535754,0.03222773727776,0.0464461536593418,0.213319338328556,0.242552019895332,0.122044037676205,0.116395740587192,0.222922951881273,-0.101882927964971,-0.103844312011087,-0.116168729033662,0.142597110799544,-0.0266408203573482,0.109434619412845,0.115880433390448,-0.103265780076179,-0.166192620286196,0.0377955403995961,-0.212212035754619,-0.129483733759647,-0.219369143502188,0.107046744517447,-0.103692807781817,0.0973534881884161,-0.186240781933108,-0.124819371099958,-0.226436947649999,-0.118777421366615,-0.051455950716196,-0.108314740192842,-0.108949299053508,-0.0287024496217567,-0.16447289444771,-0.167725488982239,-0.14327087939919,-0.238414403882361,-0.146842959479736,-0.110128915299087,-0.0214651787548304,-0.107649044639926,-0.130428001329396,-0.146045489354889,-0.10335139787683,-0.0940507572935668,-0.035672916312389,-0.13686500693201,-0.109258585863645,-0.21357852652973,-0.0932851777742702,-0.210645643599271,-0.0897098210583148,-0.094123775555831,-0.162467131665396,-0.0309087803770274,0.0184553094154242,-0.144607616471361,-0.133614710429291
