"","AEorange","AEpaleturquoise","AEantiquewhite4","AEpink4","AEmediumpurple3","AEorangered3","AElightpink3","AElightgreen","AEskyblue","AElavenderblush3","AEpalevioletred3","AEivory","AEsalmon4","AEdarkseagreen4","AEsaddlebrown","AEmediumpurple2","AEblue2","AEgreenyellow","AEplum2","AEcoral2","AEskyblue4","AEcoral1","AEsalmon","AElightcyan","AEpalevioletred2","AEskyblue1","AEantiquewhite2","AEdarkturquoise","AEmagenta","AEmediumorchid","AEblack","AEturquoise","AEdarkgreen","AEbisque4","AElightsteelblue","AEmaroon","AElightcoral","AEnavajowhite1","AEplum3","AEskyblue2","AEdarkolivegreen4","AEyellowgreen","AEdarkorange2","AEmagenta4","AEthistle","AEdarkorange","AEgrey60","AEskyblue3","AEorangered1","AEthistle3","AEcoral3","AEfirebrick4","AEhoneydew1","AEdarkseagreen3","AEindianred4","AEdarkgrey","AEviolet","AEdarkolivegreen","AEsienna4","AEsalmon2","AEdarkviolet","AEdarkmagenta","AEtan","AEyellow","AElavenderblush2","AEmidnightblue","AEdarkslateblue","AEorangered4","AEblue","AEcyan","AEhoneydew"
"1",0.614041037764294,0.930807387377847,0.570337295335482,0.772378417248511,-0.766165995610917,-0.595935662960854,0.547059050936012,0.564673184025388,0.576975046171953,0.571816993661809,-0.0523896952642217,0.757099661804082,-0.315076123930701,-0.639782096218844,-1.07630669830971,-0.156640989074589,-0.576780095882983,-0.707547319169173,-0.674898218523202,-0.816169317631114,-0.154933206929555,-0.737435352415677,-0.390851803839823,1.12758269336213,0.666924341698065,0.47604299140353,-1.1063998855089,0.0684061672742247,-0.450595583506144,-1.03923400422888,-0.770142780367347,-0.499301759124443,-0.325008629628291,-0.798503243876567,-0.346798334430851,-0.249358003703632,-0.164916430091009,0.186593070609848,-0.245865607210237,0.0176736404513538,-0.60945924042947,-0.713222653281582,0.5720574056928,1.12479879727246,0.50946030657485,0.65495726780679,0.654508263427606,0.957296493126326,-0.741038648959801,-0.285706451995421,-0.545748006288934,0.588389503466422,0.459075065717718,0.723003985290085,0.52151772932018,-0.70189419615003,-1.01002908490603,-1.41434075948991,-0.790326152764884,-0.304452180949912,-0.368770734315798,-0.840606439290748,-1.04375509453172,0.418367926862961,0.878864154445314,-0.330713080634365,0.400977006215619,0.10044584836366,0.577862225924593,0.0438121021689931,-0.535015531077726
"2",-0.847062178052849,-0.609891595632405,-0.978502800759183,-0.932785032780688,-0.667270870364902,-0.484047311377365,-1.60157736792131,-0.841790281635972,-0.992976167520684,0.640644179515611,0.15259107274048,0.326460393094716,-0.128326228234813,-0.542313349749232,0.491917255771831,1.25738416747284,0.405280571850736,0.407774901587693,-0.697677920363122,-0.503460258598109,-0.39815133298415,-1.19302943623452,-0.717949165449932,0.673602873844027,0.179508984458784,0.282956717389766,-0.852905391080568,-0.593935911705455,-0.445090109149407,-0.60975257159311,-0.53791056279226,-0.621171493130582,-0.263953275815739,-0.535288132150507,-0.645057571559694,-0.380410555895815,0.227851445152497,0.0950823499362122,-0.137195418684131,-0.38613449764463,-1.4319884358061,-0.781196793608306,0.550269299650276,-0.370125041602427,-0.0344909040470638,0.444941084209146,-0.000460111944313654,-0.492212612642271,0.362696652653832,0.0167167697581297,0.880427424230745,0.562346200510917,0.282402541980946,0.00442109294669896,0.411254506254713,-0.146165066365785,-0.449970478511454,0.317247172612618,0.814372404600791,0.923265984899666,0.880151176140696,0.0644138756566637,0.399224040487316,0.578260778336889,0.531714908484858,-0.18061280339657,0.414770989365178,0.363559572600267,0.586827590796285,0.237794638640814,0.818210711408653
"6",-0.794228214012818,-0.515434272647655,-1.21528026002363,-0.705603159066832,-0.637157550209415,-0.631912949316519,-1.46160330609173,-0.848797962076713,-0.950793923923415,0.436592845262638,0.0587962198283684,0.675463066288108,0.736787623568154,-0.552075813538332,0.355337547146139,1.03670643964091,0.245078060709875,0.430421072596264,-0.648570750257829,-0.448535494359505,-0.454172554635759,-1.2687534086549,-0.756123151854465,-0.250957168587601,-0.670646474694089,0.382204153133741,-0.730752898233013,-0.357607072319631,-0.375157807088444,-0.720177001540838,-0.455512313619784,-0.726818505714229,-0.143329033615996,-0.512343525949559,-0.57936057388084,-0.756235994185955,-0.123751300609155,0.094895283945656,-0.871141836121784,-0.678942417176495,-1.04020869468333,-0.495828494953063,0.592725195921214,-0.325279663679801,0.0365071211087406,0.518812009164771,0.0166122317212173,-0.381465285052178,0.0869542441478275,-0.171895701195606,0.939440764987187,0.507406978615038,0.311401803179183,-0.0310960696402145,0.441018030139073,0.0205238277430955,-0.563414601328421,0.296521591265382,0.766642406771137,1.14831021608011,0.870078776139698,0.208865368566827,0.453146204359527,0.560722888343649,0.23836023970253,-0.355262139537557,0.465797093381625,0.172908291252794,0.579306058253854,0.0159177135652548,0.494103047008485
"8",0.530334514588518,0.698514370212326,0.429128393501234,0.343648918928102,0.791285001749251,0.988840770489572,0.339809196375344,0.435736297924597,0.41307369582079,1.2640838061712,0.390391770304159,0.557246387109058,0.129472713893507,0.953957960864001,0.386735967918292,0.167496967326023,-0.057536101048552,-0.666908275273419,-0.425192720285187,-0.64078638635652,-0.264817251941826,-1.39812889862218,-0.516343261632578,-0.449841677557457,-1.11292334003924,-0.622202297433282,-0.788349443376431,-0.35724633027792,-0.258150551759907,-0.669297548479607,-0.938063679705,-0.766985646677493,-0.539414338442977,-0.93816678808665,-0.897006145274693,-0.563812712781311,-0.189604071575436,-0.15001733687618,0.0397065305024177,-0.186560355583561,-1.18960763587419,-0.602268285025289,-1.06939743442528,-0.613515192452548,-0.262979981219783,-1.07114149437535,-0.537208931383267,-0.453272340308937,0.0500400213794697,0.181867363386317,-0.646508981981814,-0.517749492185534,0.183082153031584,0.629581873333688,-0.269302390402554,0.245284483591685,-0.38673253724295,0.20826329405719,-0.1876942594101,-0.250067024114199,-0.607290213802205,-0.798143214753464,-0.969994700076522,1.01349589728248,0.659342761096466,-0.105638578551185,0.688236999311007,0.491531706768338,0.842155388575453,0.172082504968647,0.157047586687057
"10",0.735296097791626,0.891556321571973,0.541533711297446,0.303761845628286,0.903686023794234,1.00956883434224,0.243319642407856,0.721124393059221,0.323509333113968,0.294261063795004,-0.474584138729289,-0.174629783004298,-0.0877548677228449,0.620319217196376,0.472005414746457,0.0936080195142746,-0.805732232585594,-0.623330647391081,-0.580894965711391,-0.536774779008523,-0.125866728764976,-0.602782622905319,-0.0480692810037274,-0.220965967356776,-0.473439113053429,-1.07372322584832,-0.288080740540921,-0.532323609344876,-0.570805357047915,-0.483747435556172,-0.573960327251204,-0.346606811428192,0.537044849286466,0.113669106054394,0.31226105855202,0.864440243703986,0.791288300866696,0.763200597519195,0.962805248766066,1.02281654315352,-0.201814405622157,0.254576991989067,-1.3209727597323,-0.695389299865342,-0.0756209959503003,-0.881054183977407,0.0559297700056697,-0.429010517237945,-0.841401280076289,-0.826953027838315,-0.495575968998003,-0.433659487291139,0.534417362936427,0.643597745142185,-0.0295913997466567,-0.268631223679659,-0.477423988193891,0.440140898059523,-0.332240831149847,-0.794011961753157,-0.429247865064029,-0.509361102011768,-0.899500532717232,-0.0772780656442038,0.619754321938728,0.332372875392196,0.704647731858286,0.545193691609621,0.576061681987349,0.747445409658862,0.208063379631294
"19",-0.851635210368159,-0.826272167824738,-1.30481849150013,-0.788024106090699,0.34673981123071,0.845318884692092,0.497727619599199,0.451341509054116,0.491431734670725,0.758691868097518,0.15531072865272,0.586518038830783,0.724800360199424,-0.6027480340839,-0.966203820808444,-0.00989468471659236,0.478133635643302,-0.729363805067059,-0.641556237152481,-0.965948694603031,-0.379022415654748,-0.373926133934935,0.525929936416089,-0.21345758285362,-0.984593117214071,-0.113247958431919,-0.831824336888609,-0.641628291227243,-0.506110803286551,-1.05390662401334,-0.706689250075104,-0.823734774865342,-0.316928853242136,-0.873094986682465,-0.769879634309761,-1.43191573009907,-0.828611253064573,-1.35106023883989,-1.07845854490984,-0.816219326186708,-1.38431246587318,-0.860399121283997,0.461963526367395,0.836467020394874,-0.314668941360597,-1.17665278461757,-1.31296025018065,-0.646236431272801,0.602934133996087,0.211155946554417,-0.663128034889986,-0.763519533106636,0.224585078597522,-0.00297001391012997,-0.0125669094240244,0.330493352999339,-0.523814067042696,0.357106217987163,0.686636988661761,1.15909995979678,0.507887414638844,0.22147920307443,0.357821276683926,1.06638689767782,0.820278540130143,0.0683158980056244,0.74973213162205,0.706099760440315,0.75896373883199,-0.0894376113500988,0.675182095238248
"20",-0.614073375519806,-0.471371887348903,-1.04304432128344,-0.59536163873433,0.404403772439807,0.982462526101063,0.468937565655894,0.661345595393371,0.638705630777704,0.330770136575561,0.650151464627573,0.545724185473572,0.153166586263498,-0.5543069153479,-0.778435351743415,-0.722059375150414,-0.624034050149349,-0.601614333673502,-0.512079072078907,-0.0982960466254133,-0.495138675417645,0.581024355885222,0.463945359264459,-0.0315228531114467,-0.0358629103027724,0.382065711637603,-0.30151721630756,0.296366752707008,0.619331336378568,0.269734199088151,0.152033712414432,0.0871067031969352,-0.374538654386689,-0.0672272661396028,-0.434199146566059,-0.103957623409656,-0.632828213204407,-0.454307973429841,0.040741750829994,-0.270023957795296,-0.265853004703221,-0.3440432133495,0.558928231678056,0.943522447009184,-0.0997536303546133,-1.02205810239088,-0.548290209936402,-0.527934472757312,-0.057195496245119,0.510494917957178,-0.551229006302515,-0.494312067432503,0.576079047928072,0.472661313999159,0.229684742717159,0.06861764496669,0.088940707223015,0.503926502320986,0.824054628188976,0.761186697950347,0.804585399499141,0.56586119970575,0.472688586865234,-0.249652584421676,-0.574415302875605,-0.910414593034578,0.0258610687163642,-0.631809504985136,-0.0397793547973391,-0.312268505845001,-0.146107241138083
"22",0.601288850217511,0.81082430579362,0.54807605050948,0.868466354455002,-0.89257115020717,-0.771984477882039,0.412587894223999,0.5721093948118,0.550984130319151,-0.0182803154627879,-0.300350951382841,0.547116194650437,-0.21731030792169,-0.770886494852647,-1.16820271379195,-0.34308158074002,-0.122832584551804,-0.662658702513752,-0.580930281682752,-0.582284328641236,-0.125620807874913,0.195527455171739,0.509671467502399,-0.598168542672496,-0.987547282675972,-0.043654770597255,-0.973493543274701,-0.148182767353333,-0.331568515615977,-0.976811234059777,-0.394702956744384,-0.655407850437526,0.173191256994533,-0.382599011903844,-0.11908748697998,-0.964636074208727,-1.10051975902423,-1.06131200703794,-0.92908014737884,-0.376431937813582,-0.339538857962252,-0.23995367541422,0.582538755934067,1.00291236611822,0.521582209882445,0.636153855982369,0.417838707461771,0.926714060480977,-0.686870068364535,-0.633815432078261,-0.500591215380459,0.610264276806386,0.460921935640281,0.45291966653914,0.495473921427083,0.644765562477638,-0.292721563711433,-1.34367205057638,-0.59367359623063,-0.0881068346714399,-0.51457041394211,-0.627035779513841,-1.00545001475395,0.35968081180661,0.304388190473701,-0.679511143563773,0.459596935031652,0.279159992694933,0.515205105748549,0.0154643608736414,-0.665728910538978
"24",-0.720400196229958,-0.638190000238809,-1.17085778167716,-0.678627504924298,-0.960300085070967,-0.462038218371992,-1.73986374193146,-0.848478762845702,-1.21631899423294,-1.08782870143099,-0.919581719505486,-1.07686709315085,-1.32372922763527,-1.07332411991277,0.562480774368075,0.724417989251095,1.32249931750105,0.670027058252734,-0.463928790571277,0.0881695793724169,-0.265953840267744,0.590131165821772,0.787940446945746,-0.876763716056928,-0.520995656837742,0.16797305512845,0.368744552795714,-0.707943876420226,-0.16164020380411,0.677372401875616,0.503492421254622,0.295230566454781,0.297411999428046,0.45262543628401,1.0941977059762,0.302395852564299,0.93779335060675,0.119134443412726,0.241186734436687,0.817152727002459,0.387008804458672,0.423063101342507,0.353793554810009,-0.614940649979684,0.0733570407924155,0.5280204406339,-0.768203312644351,-0.484370609628311,-0.872847501586109,-0.693577327312701,1.07739417587043,0.413977930265959,0.540570780075605,-0.555976684854722,0.210528121611609,0.952169790497888,0.916018810228195,0.649693923419694,0.657565072917549,0.538807750736647,1.27609728133376,0.649654494574567,0.708743258263683,0.27703577878145,-0.649543375444891,-0.651220412318551,-1.04310344075723,0.752164130967545,-0.137723871365951,0.384556269524888,1.22443000878139
"32",-0.891981551122351,-0.417963539677857,0.610089221849325,0.956942975446383,-0.279742164097738,-0.581016777338555,0.324572151069784,-0.589380158743201,-0.996592436739742,-0.000530656267851453,-0.320722812708975,0.064564360714599,-0.207549902580426,0.598958263554357,0.319409087790955,0.864478362174756,0.694523099650062,0.492199284988164,0.795340634724536,-0.863886195350948,-0.293515216847707,-0.977575210927539,-0.55289381831217,-0.856763589403943,-0.792280477603453,-0.392606817879141,0.348679736771836,-0.452175057085474,-0.643524991115972,-0.754844859604453,-0.470398241084896,-0.378990991647969,0.11666237804011,-0.36119511164292,-0.0713832548470428,-0.430580665113923,0.69289576370239,0.471252252722652,-0.56061201712443,-0.38695978921752,-0.596268606287566,-0.177348548353981,-0.156272268214958,-0.0902240080951892,-1.243957310458,0.567680030218968,0.192019532547379,0.0395508885458505,-0.1099520965231,-0.21484744787108,1.18757978032783,0.758901210877688,-1.01356565768619,-0.00697485971611563,0.451079512180847,0.110691413794709,-0.265840536990594,0.252258360251729,0.564177764965585,0.413240633391996,-0.674137488735344,-0.58627721446731,0.459685515867635,0.754287630557509,0.100016431928108,-0.0549450539546456,-0.0445745085224706,0.537950667488007,0.350884866545716,0.10888762744689,0.476543291352308
