"","colSums(txi.rsem.cult$counts)"
"1",17251759.09
"2",14060243.92
"6",12332187.79
"8",14329196.95
"10",11170792.83
"19",11154721.16
"20",14738931.87
"22",16393627.13
"24",13048206.36
"32",11325334.27
"33",10553828.88
"35",10321049.9
"37",12437690.93
"39",10519999.17
"40",14401580.12
"42",14698342.84
"43",16741776.33
"45",1658810.94
"49",10367343.16
"56",8305426.87
"60",25532475.16
"63",2201834.37
"67",18907449.14
"73",12198678.2
"74",12147734.99
"75",16170922.23
"82",9849001.96
"85",18155021.96
"86",9395022.05
"93",13529296.99
"94",21339196.14
"95",11564864.85
"96",11393766.87
"100",13914373.77
"106",11625712.95
"107",15033486.86
"108",13875829.78
"110",15742885.93
"119",11510934.04
"120",14870127.89
"125",12530737.93
"129",13268761.73
"131",13821030.97
"141",15736638.91
"151",11423921.96
"154",10795772.99
"155",13925367.89
"159",9715569.09
"160",11777675.07
"162",15721123.09
"163",10490466.83
"166",15407752.66
"168",15249055.68
"175",19431054.98
"176",10865403.95
"179",13620376.1
"180",17527031.9
"181",15814811.7
"186",6409079.91
"188",16811425.74
"189",16517231.01
"191",12894211.99
"192",12728853.76
"193",13091807.68
"194",10584931.84
"196",17568985.17
"201",14823479.13
"208",9630551.91
"211",9784185.09
"215",10543074.15
"221",19916640.05
"224",10919446.96
"230",14771355.84
"232",13934567.04
"239",9004124.09
"241",12544850.06
"244",8557408.83
"247",9473932.69
"248",16574825.84
"254",4073421.02
"255",16092306.18
"261",643999.85
"262",9621064.81
"265",17400044.77
"267",9647138.08
"270",15643674.03
"273",14654508.22
"276",14368590.23
"278",15261440.06
"283",18160748.97
"284",16212798.97
"295",16024936.18
"298",8707902.32
"300",15942557.21
"301",19478131.75
"304",26993554.67
"307",14969044
"308",9991582.07
"309",16543223.74
"311",16579610.89
"313",9345968.95
"316",9729616.12
"318",10699125.88
"322",9628689.86
"323",18170147.41
"327",10775591.04
"332",15163180.88
"335",9131499.03
"336",1026293
"337",12505872.91
"339",8490811.93
"340",8347336.08
"350",10439864.06
