"","MEgreen4","MEthistle","MEcyan","MEyellow4","MEplum3","MEblue4","MEdarkolivegreen2","MEnavajowhite","MEbisque4","MEnavajowhite2","MEbrown4","MEorangered4","MEdarkturquoise","MEpaleturquoise","MEhoneydew1","MElavenderblush1","MElightgreen","MEskyblue1","MEantiquewhite2","MEpalevioletred2","MEskyblue","MEsteelblue","MEblue2","MEdarkolivegreen","MEtan","MEnavajowhite1","MEsalmon1","MEblue","MEivory","MEmediumpurple4","MEdarkgreen","MEcoral1","MEyellow3","MEplum","MEpalevioletred3","MEpurple","MEyellow","MEcoral","MElightsteelblue1","MEmidnightblue","MEorangered3","MEdarkred","MElightslateblue","MEdarkmagenta","MElightblue4","MEskyblue2","MEorange","MEpink4","MEfirebrick3","MElightsteelblue","MEgreenyellow","MEdarkgrey","MEdarkseagreen2","MEchocolate4","MEskyblue3","MEfloralwhite","MEplum4","MEdarkorange","MEmaroon","MEhoneydew","MEindianred4","MElightcoral","MElavenderblush3","MEdarkseagreen3","MEdarkviolet","MEdarkslateblue","MEtan4","MEmagenta4","MEsaddlebrown","MEmediumpurple1","MEskyblue4","MElavenderblush2","MElightcyan","MEsalmon2","MElightpink2","MEorangered1","MEantiquewhite4","MEdarkolivegreen4","MEblack","MEturquoise","MEdarkorange2","MEdeeppink","MEcoral2","MEthistle4","MElightpink3","MEthistle1"
"1",-0.101280805474664,-0.0430410936210324,-0.0737253799185525,-0.0995409307350485,-0.0233751413767812,0.0686210998663306,0.0718499581667451,-0.0540566976887352,-0.00537295853067833,0.0775374907960841,-0.0386515223105436,0.14036687630034,0.0925252676691645,0.137545661991023,0.0762632374513428,0.100880758766058,0.0902935717452557,-0.0805841052592807,0.068711170761346,0.0641245685264128,0.0809476146919688,-0.206795191402426,-0.0559413808956563,-0.143592684951963,-0.150469331527235,-0.0453845499902659,-0.10308874229222,0.110128120734779,0.0520498621012785,0.109773250839838,-0.097610976963739,0.0180158025961968,-0.0700822563573316,-0.0223335653333988,-0.0900917570543808,0.0275520855989148,0.081410848080606,0.15636243520908,0.0818060515265568,-0.0503538553113374,-0.0501861330168564,-0.0474227728348832,-0.098593999059817,0.155856417289453,-0.0511772241978689,0.134345476505095,0.0893022595464421,0.135405940251049,-0.0744839042300794,0.0820356917940257,-0.115827347334921,0.0904390313801745,-0.0375027804159662,-0.126658813107589,-0.114344963954815,-0.0911981449954872,-0.024609428121511,-0.157383972837248,-0.0951445111637446,0.101455126911747,-0.0237812293887808,-0.0156057043632369,0.00106129896728457,-0.0312197530571408,-0.00527402411233513,-0.151107383885712,-0.176990257343634,-0.161390127375995,-0.178730367334654,-0.14622044658589,-0.115894410120687,0.0817580356325997,0.171549645323577,0.0688199911499601,0.0393682753197413,-0.0871228720662617,-0.0914004818110965,-0.0842426350190207,-0.152886876490557,-0.0886368399506463,-0.0827004032637936,-0.143215844956694,0.0701400464312161,0.0560923071917876,0.0149718532803056,0.00451386148558718
"2",0.0454204165675382,0.000782372249923779,-0.135296940185142,-0.156721726724194,-0.0161387507482833,0.045714182754832,0.0398807663223221,-0.0509886377483698,0.020028204121134,0.0847190980481781,-0.0146705869438291,0.0669785349551263,-0.116092364570013,-0.0836974979135494,-0.130841966341434,-0.129410125022715,-0.123692007306814,-0.0674764580415773,-0.211326743157182,-0.170404953515557,-0.136065317532015,0.0481218609063788,0.126758250106782,0.0240051026588096,0.062631408425732,0.139927672334115,0.113985732227601,0.109198786291684,0.0547927771930152,0.0672389391023837,-0.0184051247770588,0.0500251283814067,0.112325100280701,0.187595027628126,-0.000177797087652087,0.0707571873777326,0.10619461409579,-0.0515783265472472,0.0755072927278725,-0.0232273939851937,-0.0857351569679905,-0.0335043705961969,-0.0790770078755327,-0.0804276856880087,-0.0509553526594896,0.0725998696838572,-0.00329369752639652,0.0262417386489762,0.11985059279994,0.0848249817185511,0.0707752439323763,0.0653604167718126,-0.0235516159024919,-0.116690653172334,-0.0977305483803594,-0.0912347660303739,-0.0558018233938538,0.0696139324086044,-0.0809298645985667,0.081935389646733,0.0334628199269159,-0.0229419046074966,-0.0599179904806876,-0.0224900256810596,-0.000918298390863548,-0.136957517396621,-0.0546155619014059,-0.0706575586378991,-0.0823921841930965,-0.117362457506877,-0.13339133677245,0.0214538168674047,0.10102518293162,0.0110716778755156,0.0102590334551409,0.0175833125009296,-0.0945109571751322,-0.195182599670684,-0.106597675958962,-0.112968684492081,-0.0853088690386339,-0.0862485133986181,0.0415798867874351,-0.0465649816631996,-0.0416461170104169,-0.112973817474396
"6",0.00544754379827824,-0.0244565193102557,-0.140002631718532,-0.165556642467587,-0.0537153459310588,0.0484046781263761,0.0426442466885639,-0.0525603791647769,0.00479584945026235,0.059446168736482,0.0955451515269072,0.125430898865485,-0.110625247880216,-0.0727578670783265,-0.158788530053977,-0.101476714013914,-0.12132821860677,-0.0865550575589265,-0.195345842755806,-0.161445048296732,-0.130108261294512,0.0435140728100382,0.12371898165217,0.0442344133706502,0.0693223884942482,0.172093606409948,0.108217051890017,0.107109600680819,0.0612893377494075,0.0301119250675966,0.00592738595755191,0.00927523018170873,0.0675531284227867,0.155235907149641,-0.0244776014669954,0.0412695300992497,0.105472110233129,-0.046055502866264,0.0821927672624236,-0.0426819851307326,-0.0764729930970361,-0.0164713208483628,-0.0703828274270676,-0.0627548683257027,-0.0557056223913664,0.0752015739903924,-0.00384471972751849,0.0194223899941624,0.126175376187458,0.077245051919778,0.073683213489404,0.0746878906394187,-0.0341720395703671,-0.0821717752144854,-0.0943421421880004,-0.0865973661537216,-0.0655097107111818,0.0510233799909173,-0.0794674013826514,0.0761538869434118,-0.00894131406708384,-0.0377566875789954,-0.107547840153687,-0.124762294404538,-0.0956236532836001,-0.111771842601849,-0.0996339320324925,-0.0973400664376113,-0.0962426893932792,-0.112042253362592,-0.0618834529826681,-0.083009985912444,-0.0370817891607621,0.0190854991186747,-0.0187014441328351,0.0454059882749584,-0.0810736212576467,-0.143198837829795,-0.0939620901410922,-0.133552343170857,-0.0719896238160957,-0.102720104529229,0.0520046744457558,0.0437081770771371,-0.0335140011787332,-0.0713346558074187
"8",0.00689849896862698,0.0269211879969461,-0.109372345193866,-0.179519778825436,0.0507559366977373,0.0348649096221226,0.00355213356148433,0.030972905431636,0.0568675286681686,0.162005751164398,0.018058150813324,0.112759494417006,0.0774313441953731,0.107778793263041,0.0600005723072064,0.0596537356233104,0.0663491561038979,0.132813735153085,0.0449905507437013,0.00854341654169316,0.0584491095377177,0.0339854193386421,-0.086173313129333,-0.139502917311151,-0.143530212320172,-0.0355745972046336,-0.0322742172016318,0.156397671102584,0.0897889767014089,0.0836977034581519,0.0379150856927525,0.0394224365980308,0.0196572072940643,0.0277684304384786,0.000478401109765868,0.0917750009254319,0.179001624245932,-0.0901540352029413,-0.155842236126637,-0.0121591113631535,-0.121697041933483,-0.074841188084477,-0.14349465322907,-0.0770133212967598,-0.131319573250373,-0.0244542806171928,-0.106435079922562,-0.0184011524593911,-0.0845906828229267,-0.0573872526586395,-0.114010910883033,-0.151214175522338,-0.186298063418262,-0.0122970738226926,0.116606335412396,-0.0597034317881216,-0.0384491182792502,0.0593536868369529,0.138690797358176,0.0491340195358836,-0.0257911345010483,-0.0662188764516662,-0.0265337027720572,0.000183164035955378,0.0603674081411596,-0.129334754190156,-0.0255162285896063,-0.110431196455437,-0.0679764632999917,-0.0787516870853738,-0.128408488442328,-0.13747378040416,-0.0701714274014629,-0.0385233725067773,-0.00946510405408429,-0.0719631417798354,-0.0940936778825815,-0.162571930901487,-0.183562977863363,-0.144023037373586,-0.0540328066852314,-0.0938282470157701,-0.0870325510158368,-0.0338233180531164,0.0153904019456495,-0.0789824091167784
"10",-0.109771430583641,-0.121937696618029,-0.0209584648483599,-0.0806064578175765,0.0628614278905253,0.0781166560667064,0.0213114727968905,-0.1206572465387,-0.0649866229627175,0.0355455849461031,-0.00898048491102507,-0.031784373040914,0.10258714009342,0.137527414734094,0.0719857900480739,0.0572191757603494,0.106640200618876,0.138281672504038,0.0328338760903277,0.00788442118462404,0.046467943441154,0.0672278689567068,-0.0588616344818226,-0.104308059619802,-0.132754728870696,-0.120223868059491,-0.0509118246307768,0.105638046378023,0.0915842740898556,0.0713130523413258,-0.0366447390078766,0.133721663194193,0.0279888698974342,0.00850146647420089,-0.0927027298123542,0.0916284375342671,-0.00325790227075687,-0.100541618782454,-0.191007775412594,0.04111245728361,0.0410336394621209,0.0713228747749165,0.00875308971472256,-0.0708033152994603,-0.0176942901716731,0.113338290938252,0.00227335465420501,-0.0163586493445965,-0.0653767313848621,-0.0578558407455621,-0.10468258646909,-0.126513977704367,-0.120085749587823,-0.0609587501288668,0.131149605637244,-0.0825707247305792,-0.0176795154776961,0.0740964025977757,0.0963454338156018,0.163743524549163,0.0980493618400015,0.0928986504297194,0.158476070115736,0.130459174101223,0.119319672688287,-0.0630891037562584,0.105798467985964,0.0363281109095179,-0.0886352136741348,0.0590708611272014,0.0414267735837138,-0.0597036877869026,-0.0314957836433302,-0.00209591067859938,0.0851004006591907,-0.00550479794445285,-0.0943684949387821,-0.0242238244389537,-0.115123363563424,-0.0711167911453632,-0.115155115600121,-0.0637556670457129,-0.147116714062488,-0.121784358259461,-0.10189006621596,-0.0980193203860655
"19",0.0827269760784557,0.0296469064960905,0.0914049476072135,-0.0489444458585072,0.0638545998366754,0.0343297105703512,-0.00751418009643367,-0.00908982679476322,0.0194690509563021,0.098955992547109,0.094437658122993,0.119244473674244,-0.119477663794991,-0.111288095335724,-0.173681413874253,-0.112058744800444,0.0719579687734049,0.114765800334753,0.0637293875082284,-0.0163717260697785,0.0671520512545959,0.0534874607582712,0.0754784351664748,0.0239088531592474,0.0539613473879561,0.178349992211229,0.100383480719905,0.147080065041382,0.0950150553357548,0.102030292020437,0.0469639139883343,-0.00364072698745725,0.094347597292901,0.0061172647462279,0.0545205143756803,0.129128036384305,0.185313642006581,0.115851189829155,0.0655974834844092,0.0172812478807726,-0.104270419688052,-0.0396653234074706,-0.132978318698499,-0.103399430733466,-0.234350803345066,-0.11494000574176,-0.217718411889433,-0.202328591027131,-0.0871861815470157,-0.127793812904928,-0.123647774294475,-0.159483086938409,-0.146806625511071,0.126026924037651,0.0581709628142787,-0.0886481360888888,-0.0530359308148988,-0.143168384300519,-0.089521980428021,-0.149887882443985,-0.112099763834089,-0.216934714126693,-0.126414420070439,-0.142341326976779,-0.120537977408214,-0.127890443065716,-0.117165278136853,-0.0972430516730424,-0.0926187783920491,-0.157403729243034,-0.139111425115331,-0.121264654806631,-0.0321705951162045,-0.0567047587049702,-0.0633105141935818,-0.0191779259906988,-0.149830321847249,-0.194663357531397,-0.135273722494079,-0.151275917627789,-0.0936708709553961,-0.148236539575482,-0.0150746458221329,-0.0536026739043539,-0.0253514829760757,-0.128050342833185
"20",-0.0149681893424554,0.0699739802983225,0.0758810103081306,0.0768875884696076,0.0883994202210314,0.0806072969352021,0.0510475224071995,-0.00022340301885262,0.0932890311262823,0.0446245466329903,0.0203902336093048,0.102396739114642,-0.0919713551173829,-0.0699935689674843,-0.135954141707414,-0.0872312650511708,0.0976829886669368,0.133921649175211,0.0587284032824901,0.1090435530515,0.086613696582297,0.0734620422389202,0.117022522522398,0.0858033041044102,0.0698358173518271,0.114046986088494,0.113196492082256,-0.00787051897735288,0.00188265209868517,-0.0711100449092404,0.0104951554738066,-0.054028854113756,-0.0170187422342314,-0.105372228404933,-0.0784633009864489,-0.103320968052485,-0.0430238384043607,0.129206198908081,0.0773568412722164,-0.126717578583951,-0.0608323702102018,-0.0518028167902638,-0.00721716999939279,-0.0872371894148005,-0.042782295640237,-0.102615870387246,-0.0744331705839536,-0.156577810397681,-0.0757518836368928,-0.0898181265801802,-0.0991317959121108,-0.141474998305815,-0.107320834562966,0.158208228674582,0.0627023077957478,-0.0730268269553589,-0.071397713933696,-0.11765470574398,-0.0815673173130906,-0.0679054468167283,-0.0863024878439098,-0.0493143027571555,-0.0418004264054793,0.0104923967594154,0.0422528644518924,-0.0426069232694353,-0.0495617944418776,-0.0127367786229,0.0135087457863993,-0.0269445829474929,-0.0982276695108393,-0.00432257686382179,-0.0089222459003324,-0.0201257192402329,0.0561034917310108,0.0771976371530118,-0.0146733512212085,-0.0410578422155946,0.0282426862562656,0.0185891585592708,0.107754108201693,0.0334954984167398,0.0532361325435763,-0.0345388833152456,0.107831785183432,0.0493631309225939
"22",-0.0938022105842273,-0.0928367873119141,0.105489949777697,0.0196826402002226,-0.0299480087591133,0.0644502824683267,0.062119304619688,-0.0347721243743751,-0.0426460855299905,0.00243765275915452,-0.0260202646290101,0.10095655873955,0.0913651171584932,0.120021339958266,0.0727336470361161,0.113298999901135,0.0886720251333399,-0.102027961068969,0.0532594644310422,-0.000123380730658176,0.0772790263160925,-0.197953845916223,-0.079241398504019,-0.108718039870467,-0.145564465380011,-0.0117768023613945,-0.0807419937653007,0.0972712720071493,0.0614416344833009,0.0410583749815012,0.0926511816693065,0.00319816569108846,-0.0879385332240143,-0.0493011219201451,-0.0123710433911099,0.0526600233205763,0.0628327046299611,0.140446973563584,0.0811946233636238,-0.0986048174442652,-0.0136813530818246,0.0209943501296854,-0.0187073143410933,0.147049975644727,-0.0586942644162234,0.0779782353993963,0.0449918132337063,0.118268176729733,-0.0679399402946582,0.0848226675155378,-0.112258080807519,0.0873302717512592,-0.0119914658484451,-0.087205721276925,-0.134091387721772,-0.0793338869811098,-0.0164192874870084,-0.169298943723735,-0.112067854393261,-0.114407157561856,-0.144052539822863,-0.168282660731837,-0.0555757219639717,-0.127167147648856,-0.0610950404468719,-0.131257266617998,-0.233594630689959,-0.154562165308746,-0.044430843161478,-0.0636419829067761,-0.0350749722890144,-0.121278070199012,-0.0852642075847703,0.0715392842064095,-0.0430814779721649,-0.110505795385303,-0.0834123124492821,-0.055938009433832,-0.0806478342373786,-0.121764670808157,-0.0606237247048009,-0.135144102896027,-0.00938804441471343,0.0544693327033586,-0.0205301381102508,-0.0335525454423142
"24",-0.116744043902986,-0.0993374117549503,0.10763149311144,0.0686333720823355,0.231760090940142,0.0727492009143282,0.00188682328358536,0.0913753840904625,-0.132806743853574,-0.13831474670332,-0.169710915854097,-0.197705066005835,-0.107103439110429,-0.0816779503570147,-0.154427487958708,-0.0970261673951034,-0.126738490770416,-0.0624348834409802,-0.226552166537645,-0.185290371792862,-0.165916291771537,0.0916359717469621,0.184402182905172,0.127379763435701,0.104100970067942,0.0791890079283526,0.0956542486926895,-0.0274019834390687,-0.130810703876514,-0.0800709630639451,0.133456366964713,0.0724999983458593,0.161974507319821,0.112239817858343,0.209913462639631,0.115566205072161,0.0379432281888109,-0.0803498699736825,0.0523107174575948,-0.0917780421010761,0.157120103803255,0.0426883391141551,0.0223957256992287,-0.077261038694792,-0.0922152068830455,-0.198925049654398,-0.121585398205897,-0.166328753390259,0.143950585680323,0.0696392194099855,0.114543862464605,0.0753557457816749,0.0362917701433233,-0.0495093809601184,-0.139391991146838,-0.063530618748093,-0.0368360928135609,0.0810282061611196,-0.155153247701784,-0.0142413261594665,0.1213337244883,0.0341597570425282,0.133180655527318,0.0380064027237507,-0.03136789716714,0.0481600725708165,0.0887433574145309,0.20029367331587,0.158775356592277,0.0650126482392857,0.119319875269857,-0.0649006861936678,-0.129941260535185,0.0210237584906041,-0.0242570538552468,0.0667068510114279,-0.0508681416849232,0.0528231237717433,0.107243632873519,0.0491535876088959,-0.0300391663265272,0.0997219972044521,0.0261204695721779,-0.116090781461155,-0.129414159590444,-0.114907095951649
"32",-0.0169265375131237,-0.0298563509335453,-0.0835947133104799,-0.124930596682783,-0.12689740231777,-0.145254421151817,0.0469531888299927,0.00132930289320723,-0.0478174698997024,-0.0018423751318785,-0.0259590859422204,0.0138631074776373,-0.123999092726555,-0.0633323220595091,0.0791619292528809,0.12466002071218,-0.0858336419493572,-0.0785551669726212,0.0399923667313776,-0.140257149502358,-0.138349205817409,0.0364905815162416,-0.0960383571791692,-0.0851167840078199,0.0672893978900957,0.0665582347077784,0.0792841908845701,0.0651620407283497,-0.0040793437961213,0.0130139562126674,0.0152616124879339,0.0171348651416382,0.0646167569003977,0.128145849062004,0.0722793588295655,0.091309850272346,0.122807627238694,-0.0162341467195302,-0.0224797970452343,-0.00346547714604731,-0.00869043538886432,0.0204282537038535,-0.0460163247851145,0.018974941967289,0.037439172875051,0.103311574805769,0.0156171844958753,0.126450247182629,0.157582100685835,0.114418760430906,0.0806918297494083,0.0780624823915305,0.012252365240586,-0.0995053942994208,-0.0423124820121934,0.108595000426939,-0.0413146471168472,0.0486431990101081,0.0909986690928851,0.091813634912021,0.100108854180732,0.0272019370831086,-0.0600499563044073,-0.0773667849328789,-0.109803229293273,0.044090872906946,0.00564015694560465,-0.0786665803298408,-0.0476076227076355,-0.0454002072194188,0.00916056018310266,-0.0989814490770391,-0.12579239947395,-0.196682963248679,-0.236865462909233,-0.158188716470436,-0.0958216955393997,-0.0870758191139167,-0.0911152036196631,-0.0755647809895539,-0.108049413040798,-0.102644448735214,-0.0563703294424574,-0.0176353674456758,-0.0822342262039967,-0.0817213628068303
